Hotel Name,Advertised Price,Total Price
Days Inn by Wyndham Wayne,The price is $84,$96 total
Rodeway Inn Capri,The price is $85,$100 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $85,$95 total
Days Inn by Wyndham Iselin / Woodbridge,The price is $87,$100 total
Ramada by Wyndham East Orange,The price is $93,$104 total
Super 8 by Wyndham Meadowlands,The price is $95,$112 total
Bowery Grand Hotel,The price is $96,$114 total
Howard Johnson by Wyndham Clifton NJ,The price is $98,$112 total
Hotel Executive Suites,The price is $98,$112 total
Howard Johnson Hotel by Wyndham Newark Airport,The price is $99,$114 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Days Hotel by Wyndham North Bergen /NYC Area,The price is $101,$119 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $104,$120 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $105,$121 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $109,$125 total
Travelodge by Wyndham Manhasset,The price is $110,$123 total
Howard Johnson by Wyndham North Bergen,The price is $111,$130 total
Extended Stay America Suites Meadowlands Rutherford,The price is $119,$140 total
Best Western Queens Court Hotel,The price is $119,$140 total
Feather Factory,The price is $119,$140 total
Knights Inn Brooklyn Sunset Park,The price is $119,$144 total
Horizon Inn,The price is $120,$138 total
Best Western Brooklyn-Coney Island Inn,The price is $122,$144 total
Paris Suites Hotel,The price is $125,$147 total
Ramada by Wyndham Yonkers / Westchester,The price is $125,$144 total
Hyatt Place Fair Lawn Paramus,The price is $126,$144 total
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",The price is $126,$148 total
Comfort Inn Paramus,The price is $127,$146 total
Americana Inn,The price is $129,$166 total
Red Roof Inn Fairfield,The price is $130,$149 total
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,The price is $132,$151 total
Best Western Plus Newark Airport West,The price is $133,$153 total
Extended Stay America Suites Newark Woodbridge,The price is $133,$152 total
TRYP by Wyndham Newark Downtown,The price is $135,$156 total
Best Western Jamaica Inn,The price is $136,$160 total
Mitchell Executive Hotel,The price is $137,$157 total
Quality Suites NYC Gateway,The price is $137,$161 total
Extended Stay America Suites Elizabeth Newark Airport,The price is $138,$161 total
Ardsley Acres Hotel Westchester,The price is $139,$159 total
Airway Inn at LaGuardia,The price is $139,$163 total
Hampton Inn & Suites Newark Airport Elizabeth,The price is $141,$166 total
Days Inn by Wyndham Ridgefield NJ,The price is $142,$167 total
The Floral Park Motor Lodge,The price is $143,$163 total
Fairfield Inn by Marriott East Rutherford Meadowlands,The price is $143,$168 total
Wyndham Garden LaGuardia South,The price is $144,$168 total
Hampton Inn & Suites Teaneck Glenpointe,The price is $144,$165 total
Courtyard by Marriott Newark Liberty International Airport,The price is $144,$166 total
Ramada by Wyndham Rockville Centre,The price is $145,$162 total
Super 8 by Wyndham Long Island City LGA Hotel,The price is $146,$171 total
Extended Stay America Suites White Plains Elmsford,The price is $147,$168 total
Wyndham Garden North Bergen Near Secaucus,The price is $148,$174 total
Sonesta Simply Suites Nanuet,The price is $149,$166 total
Fairfield Inn & Suites Newark Liberty International Airport,The price is $152,$175 total
Marriott Saddle Brook,The price is $152,$174 total
La Quinta Inn & Suites by Wyndham Secaucus Meadowlands,The price is $152,$179 total
Casa Azul Hotel Blu JFK,The price is $152,$190 total
Quality Inn JFK Airport Rockaway Blvd,The price is $156,$186 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $156,$183 total
Extended Stay America Suites Secaucus New York City Area,The price is $157,$184 total
Red Carpet Inn Elmwood Park,The price is $158,$182 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $159,$187 total
Midtown West Hotel,The price is $159,$201 total
Meadowlands Plaza Hotel,The price is $159,$187 total
Asiatic Hotel by LaGuardia Airport,The price is $159,$186 total
Hilton Meadowlands,The price is $160,$188 total
Extended Stay America Suites Meadowlands East Rutherford,The price is $161,$190 total
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",The price is $162,$186 total
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",The price is $162,$186 total
Hampton Inn Carlstadt-At The Meadowlands,The price is $163,$192 total
Wheeler Hotel,The price is $167,$195 total
The Central Park North,The price is $169,$197 total
Adria Hotel And Conference Center,The price is $169,$197 total
Best Western Plus Fairfield Executive Inn,The price is $169,$194 total
Residence Inn by Marriott East Rutherford Meadowlands,The price is $169,$199 total
The Parc Hotel,The price is $169,$198 total
Midtown Convention Center Hotel,The price is $170,$214 total
Fairfield Inn & Suites New York Queens/Fresh Meadows,The price is $170,$199 total
"Holiday Inn Express Newark Airport Elizabeth, an IHG Hotel",The price is $170,$195 total
Ramada by Wyndham Jersey City,The price is $170,$198 total
The Brooklyn,The price is $170,$221 total
SpringHill Suites by Marriott Newark Liberty International,The price is $171,$197 total
Hampton Inn Nanuet,The price is $174,$194 total
Red Roof PLUS+ Long Island - Garden City,The price is $174,$194 total
Hilton Short Hills,The price is $174,$200 total
SpringHill Suites by Marriott Tarrytown Westchester County,The price is $175,$200 total
Best Western Gregory Hotel,The price is $175,$205 total
Extended Stay America Suites Secaucus Meadowlands,The price is $176,$207 total
Ramada by Wyndham Staten Island,The price is $176,$205 total
The Kenilworth,The price is $177,$203 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Fairfield Inn by Marriott JFK Airport,The price is $179,$209 total
Courtyard by Marriott West Orange,The price is $180,$206 total
Comfort Suites Newark - Harrison,The price is $180,$208 total
Best Western Fort Lee,The price is $181,$209 total
Hyatt Place Fort Lee / George Washington Bridge,The price is $181,$208 total
Extended Stay America Suites New York City LaGuardia Airport,The price is $185,$216 total
Comfort Inn JFK Airport,The price is $186,$217 total
Hyatt Place Secaucus/Meadowlands,The price is $187,$220 total
Fairfield Inn & Suites by Marriott North Bergen,The price is $188,$221 total
The Park Ave North,The price is $189,$220 total
La Quinta Inn & Suites by Wyndham Garden City,The price is $189,$211 total
"Holiday Inn Express Laguardia Airport, an IHG Hotel",The price is $189,$222 total
Best Western Queens Gold Coast,The price is $191,$222 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $193,$221 total
Teaneck Marriott at Glenpointe,The price is $193,$221 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $193,$221 total
The Andrew Hotel,The price is $193,$216 total
Hampton Inn NY-JFK,The price is $194,$227 total
"The Westfield Inn, BW Signature Collection",The price is $195,$217 total
Ramada by Wyndham Bronx,The price is $195,$227 total
Hilton Garden Inn Ridgefield Park,The price is $195,$223 total
The Grand Summit Hotel,The price is $195,$224 total
Best Western Mill River Manor,The price is $195,$218 total
The Lodge Red Hook,The price is $196,$228 total
"The L Hotel, Ascend Hotel Collection",The price is $197,$229 total
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,The price is $197,$231 total
Courtyard by Marriott Yonkers Westchester County,The price is $197,$226 total
Best Western Premier NYC Gateway Hotel,The price is $198,$235 total
Lic Plaza Hotel,The price is $199,$232 total
Chelsea Mews Guest House All Male,The price is $200,$233 total
The Gatsby Hotel,The price is $203,$273 total
"Hotel Nyack, a JdV by Hyatt Hotel",The price is $204,$284 total
DoubleTree by Hilton Hotel Newark Airport,The price is $205,$236 total
Westminster Hotel,The price is $206,$236 total
Harmony Suites,The price is $206,$242 total
"Insignia Hotel, Ascend Hotel Collection",The price is $209,$243 total
Wyndham Garden Brooklyn Sunset Park,The price is $209,$253 total
Five Towns Inn - JFK Airport,The price is $209,$233 total
Heritage Hotel,The price is $209,$243 total
