Hotel Name,Advertised Price,Total Price
Days Inn by Wyndham Wayne,The price is $63,$72 total
Bowery Grand Hotel,The price is $71,$85 total
Days Inn by Wyndham Iselin / Woodbridge,The price is $77,$89 total
Tides Motor Inn at Stehli Beach,The price is $79,$88 total
Rodeway Inn Capri,The price is $85,$100 total
Super 8 by Wyndham North Bergen NJ/NYC Area,The price is $88,$104 total
Sky Hotel Flushing/LaGuardia Airport,The price is $89,$110 total
Canal Loft Hotel,The price is $90,$138 total
Chelsea Inn,The price is $90,$176 total
Flushing Hotel,The price is $91,$108 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $92,$102 total
Best Western Queens Court Hotel,The price is $93,$111 total
Ramada by Wyndham East Orange,The price is $93,$104 total
Paramount Times Square,The price is $95,$152 total
Super 8 by Wyndham Meadowlands,The price is $95,$112 total
Wyndham Garden North Bergen Near Secaucus,The price is $95,$112 total
Howard Johnson by Wyndham North Bergen,The price is $98,$115 total
Hotel Executive Suites,The price is $98,$112 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $98,$113 total
Ramada by Wyndham Staten Island,The price is $99,$117 total
Pod 39,The price is $99,$140 total
The Central Park North,The price is $99,$117 total
Howard Johnson Hotel by Wyndham Newark Airport,The price is $99,$114 total
Swan Motel,The price is $99,$113 total
DoubleTree by Hilton New York Times Square West,The price is $101,$120 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Days Hotel by Wyndham North Bergen /NYC Area,The price is $101,$119 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $102,$121 total
TRYP by Wyndham Newark Downtown,The price is $103,$119 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $104,$120 total
Courtyard by Marriott New York Downtown Manhattan/Financial District,The price is $105,$124 total
The Solita Soho Hotel,The price is $108,$150 total
Days Inn by Wyndham Ridgefield NJ,The price is $108,$127 total
The Ridge Hotel,The price is $108,$197 total
Pod Times Square,The price is $109,$152 total
SoHo 54 Hotel,The price is $109,$163 total
Hotel Mulberry,The price is $109,$129 total
Queens Hotel,The price is $109,$130 total
The One Boutique Hotel,The price is $109,$129 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $109,$125 total
The Gatsby Hotel,The price is $110,$156 total
DoubleTree by Hilton New York Downtown,The price is $110,$129 total
The Parc Hotel,The price is $110,$129 total
Wyndham Garden LaGuardia South,The price is $110,$129 total
Horizon Inn,The price is $110,$126 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $112,$132 total
Hotel Mimosa,The price is $113,$133 total
Hilton Garden Inn New York/Midtown Park Ave,The price is $113,$133 total
DoubleTree by Hilton New York Midtown Fifth Ave,The price is $113,$133 total
The Park Ave North,The price is $115,$135 total
Comfort Inn Manhattan - Midtown West,The price is $116,$137 total
Liberty View Brooklyn hotel,The price is $116,$137 total
Hampton Inn Manhattan-Seaport-Financial District,The price is $117,$138 total
Hotel Richland LES,The price is $117,$158 total
The Lex NYC,The price is $118,$172 total
Four Points By Sheraton New York Downtown,The price is $118,$139 total
Fairfield Inn New York Manhattan/Financial District,The price is $118,$139 total
Residence Inn by Marriott New York Downtown Manhattan/Financial District,The price is $118,$139 total
Extended Stay America Suites Newark Woodbridge,The price is $119,$136 total
LIC Hotel,The price is $119,$140 total
Grandview Hotel New York,The price is $119,$140 total
Radio Hotel,The price is $119,$140 total
Asiatic Hotel by LaGuardia Airport,The price is $119,$140 total
Knights Inn Brooklyn Sunset Park,The price is $119,$144 total
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",The price is $121,$173 total
Howard Johnson by Wyndham Clifton NJ,The price is $121,$139 total
Hampton Inn Manhattan/Downtown-Financial District,The price is $121,$143 total
Leon Hotel LES,The price is $122,$168 total
Best Western Brooklyn-Coney Island Inn,The price is $122,$144 total
Extended Stay America Suites Elizabeth Newark Airport,The price is $123,$145 total
The FIDI Hotel,The price is $124,$180 total
Paris Suites Hotel,The price is $125,$147 total
Four Points by Sheraton Midtown-Times Square,The price is $125,$147 total
The Manhattan at Times Square Hotel,The price is $125,$187 total
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",The price is $126,$148 total
Comfort Inn Paramus,The price is $127,$145 total
Super Lake Hotel,The price is $127,$149 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,The price is $127,$149 total
Super 8 by Wyndham Long Island City LGA Hotel,The price is $127,$150 total
Quality Suites NYC Gateway,The price is $128,$150 total
The Belvedere Hotel,The price is $129,$176 total
The Gallivant Times Square,The price is $129,$169 total
Americana Inn,The price is $129,$166 total
Fairfield Inn & Suites New York Manhattan/Downtown East,The price is $130,$152 total
Red Roof Inn Fairfield,The price is $130,$149 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $131,$150 total
Mitchell Executive Hotel,The price is $131,$151 total
Red Carpet Inn Elmwood Park,The price is $132,$151 total
"Club Quarters Hotel, Grand Central",The price is $132,$155 total
Hotel Boutique at Grand Central,The price is $132,$155 total
"Hotel Indigo NYC Financial District, an IHG Hotel",The price is $132,$157 total
Hyatt Place Fair Lawn Paramus,The price is $133,$152 total
Extended Stay America Suites Meadowlands Rutherford,The price is $133,$156 total
Embassy Suites by Hilton New York Manhattan Times Square,The price is $134,$187 total
Henn na Hotel New York,The price is $134,$180 total
Fairfield Inn by Marriott New York Manhattan/Times Square,The price is $134,$157 total
Fairfield Inn by Marriott East Rutherford Meadowlands,The price is $134,$158 total
Off Soho Suites Hotel,The price is $134,$160 total
Doubletree by Hilton New York Times Square South,The price is $135,$159 total
La Quinta Inn & Suites by Wyndham Times Square South,The price is $135,$180 total
"Staypineapple, An Artful Hotel, Midtown",The price is $135,$187 total
The New Yorker A Wyndham Hotel,The price is $136,$193 total
Ramada by Wyndham Rockville Centre,The price is $136,$152 total
Ravel Hotel Trademark Collection by Wyndham,The price is $136,$160 total
OYO Times Square,The price is $137,$204 total
Fairfield Inn & Suites New York Queens/Fresh Meadows,The price is $137,$161 total
Freehand New York,The price is $138,$196 total
