Hotel Name,Advertised Price,Total Price
Cozy 1st Floor / Basement Apartment 15 min from NYC!,The price is $85,$171 total
Days Inn by Wyndham Wayne,The price is $88,$101 total
Americas Best Value Inn Avenel Woodbridge,The price is $99,$113 total
Bowery Grand Hotel,The price is $100,$118 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Rodeway Inn,The price is $101,$113 total
Extended Stay America Suites Newark Woodbridge,The price is $104,$120 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $105,$121 total
Crown Inn Motel,The price is $108,$124 total
Rodeway Inn Capri,The price is $110,$129 total
L 3 Downtown Newark Guesthouse,The price is $112,$149 total
Mamaroneck Motel,The price is $113,$129 total
Quality Inn Wayne - Fairfield Area,The price is $113,$130 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $114,$131 total
Coliseum Inn & Suites - Garden City Long Island,The price is $114,$127 total
Days Inn by Wyndham Iselin / Woodbridge,The price is $115,$132 total
"Red Carpet Inn Newark Irvington, NJ",The price is $117,$135 total
Rodeway Inn Jersey City near Hoboken,The price is $119,$139 total
"Motel 6 Elmsford, NY - White Plains",The price is $119,$136 total
Holly Hill Motel,The price is $119,$133 total
"Motel 6 Elizabeth, NJ - Newark Liberty Intl Airport",The price is $119,$142 total
Horizon Inn,The price is $120,$138 total
Tappan Zee Hotel,The price is $120,$134 total
Quality Inn Spring Valley - Nanuet,The price is $120,$134 total
Hotel Mint JFK Airport,The price is $120,$142 total
Super 8 by Wyndham Rahway/Newark,The price is $124,$142 total
31 Street Broadway Hotel,The price is $125,$383 total
Ramada by Wyndham East Orange,The price is $128,$142 total
Inn at Jericho,The price is $129,$144 total
Tides Motor Inn at Stehli Beach,The price is $129,$144 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $129,$148 total
Days Inn by Wyndham Elmsford / White Plains,The price is $130,$152 total
Extended Stay America Suites Elizabeth Newark Airport,The price is $133,$156 total
Wyndham Garden Totowa,The price is $134,$154 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $134,$154 total
Turkey Hill Inn,The price is $135,$155 total
Super 8 by Wyndham Nyack NY,The price is $136,$156 total
"Robert Treat Hotel, BW Premier Collection",The price is $136,$157 total
Travelodge by Wyndham South Hackensack,The price is $136,$160 total
Mitchell Executive Hotel,The price is $137,$157 total
Essence Express Wayne,The price is $138,$158 total
Extended Stay America Suites Meadowlands East Rutherford,The price is $138,$162 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $140,$156 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $140,$165 total
The Wayne Inn,The price is $141,$161 total
Hotel Executive Suites,The price is $143,$164 total
Rodeway Inn Meadowlands,The price is $143,$168 total
Clinton Inn Hotel & Event Center,The price is $143,$164 total
Super Lake Hotel,The price is $144,$169 total
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",The price is $144,$165 total
Days Inn by Wyndham Jersey City / NYC Area,The price is $144,$169 total
Extended Stay America Suites White Plains Elmsford,The price is $147,$168 total
The Central Park North,The price is $149,$174 total
Airway Inn at LaGuardia,The price is $149,$174 total
Travelodge by Wyndham Jersey City,The price is $149,$174 total
Super 8 by Wyndham Meadowlands,The price is $149,$176 total
Grandview Hotel New York,The price is $149,$175 total
Red Roof Inn Fairfield,The price is $150,$172 total
Flushing Hotel,The price is $150,$176 total
Latisha house,The price is $150,$176 total
Comfort Suites at Woodbridge,The price is $152,$174 total
Casa Azul Hotel Blu JFK,The price is $152,$190 total
This location will make ur EYES Light UP,The price is $152,$260 total
Umbrella Hotel Brooklyn,The price is $152,$178 total
Super 8 by Wyndham Long Island City LGA Hotel,The price is $153,$179 total
Fairfield Inn & Suites by Marriott New York Staten Island,The price is $154,$180 total
Hampton Inn Ridgefield Park,The price is $155,$178 total
Union Hotel,The price is $156,$185 total
Extended Stay America Suites Meadowlands Rutherford,The price is $157,$184 total
Comfort Inn Paramus,The price is $157,$180 total
Howard Johnson Hotel by Wyndham Newark Airport,The price is $159,$183 total
Howard Johnson by Wyndham Clifton NJ,The price is $159,$182 total
Voyage Hotel,The price is $159,$186 total
Red Lion Inn & Suites Long Island City,The price is $159,$186 total
Sonesta Simply Suites Nanuet,The price is $159,$177 total
Best Western Queens Court Hotel,The price is $160,$187 total
Days Hotel by Wyndham North Bergen /NYC Area,The price is $160,$188 total
Ramada by Wyndham Jersey City,The price is $161,$187 total
Hilton Short Hills,The price is $161,$184 total
Hilton Garden Inn Springfield,The price is $161,$188 total
Hampton Inn & Suites Newark Airport Elizabeth,The price is $161,$189 total
"The L Hotel, Ascend Hotel Collection",The price is $161,$188 total
Quality Inn near Sunset Park,The price is $161,$188 total
Days Inn by Wyndham Ridgefield NJ,The price is $162,$190 total
Steinway Hotel,The price is $163,$190 total
Hampton Inn Linden,The price is $165,$189 total
"Holiday Inn Newark International Airport, an IHG Hotel",The price is $165,$190 total
King Hotel Brooklyn Sunset Park,The price is $165,$197 total
Fairfield Inn & Suites Newark Liberty International Airport,The price is $166,$191 total
Courtyard by Marriott Paramus,The price is $166,$190 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $166,$191 total
The Flat NYC,The price is $167,$195 total
Wheeler Hotel,The price is $167,$195 total
The Leo House,The price is $167,$197 total
The Brooklyn,The price is $168,$219 total
The Park Ave North,The price is $169,$197 total
Travelodge by Wyndham Manhasset,The price is $169,$189 total
Paris Suites Hotel,The price is $169,$197 total
The Vue Hotel Express,The price is $169,$209 total
APA Hotel Woodbridge,The price is $169,$194 total
"Home2 Suites by Hilton Wayne, NJ",The price is $169,$194 total
"Holiday Inn Express Newark Airport Elizabeth, an IHG Hotel",The price is $170,$195 total
Residence Inn by Marriott Saddle River,The price is $170,$195 total
The Baltic Hotel,The price is $170,$210 total
Home2 Suites by Hilton Newark Airport,The price is $170,$196 total
YMCA West Side,The price is $171,$171 total
Off Soho Suites Hotel,The price is $171,$202 total
Hampton Inn White Plains/Tarrytown,The price is $173,$203 total
Best Western Plus Newark Airport West,The price is $174,$200 total
Fairfield Inn & Suites by Marriott Woodbridge,The price is $175,$201 total
7 Days Hotel Bronx,The price is $175,$204 total
TRYP by Wyndham Newark Downtown,The price is $175,$202 total
Baymont by Wyndham White Plains - Elmsford,The price is $176,$201 total
Hotel 369 Brooklyn,The price is $177,$207 total
"Brooklyn Vybe Hotel, Ascend Hotel Collection",The price is $178,$216 total
Pod 51,The price is $179,$232 total
Sky Hotel Flushing/LaGuardia Airport,The price is $179,$217 total
Fairfield Inn & Suites by Marriott Paramus,The price is $179,$205 total
"Holiday Inn Express Woodbridge, an IHG Hotel",The price is $179,$205 total
Delta Hotels by Marriott Woodbridge,The price is $179,$205 total
SpringHill Suites by Marriott Newark Liberty International,The price is $180,$207 total
Hampton Inn Newark Airport,The price is $180,$207 total
Royal Hotel Bronx,The price is $180,$210 total
Best Western Fort Lee,The price is $181,$209 total
The Manhattan at Times Square Hotel,The price is $181,$252 total
Red Carpet Inn Elmwood Park,The price is $185,$212 total
Canal Loft Hotel,The price is $185,$262 total
Ardsley Acres Hotel Westchester,The price is $185,$212 total
Extended Stay America Suites New York City LaGuardia Airport,The price is $185,$216 total
The FIDI Hotel,The price is $186,$252 total
The Parc Hotel,The price is $186,$217 total
Ramada by Wyndham Bronx,The price is $186,$217 total
Hilton Woodcliff Lake,The price is $186,$213 total
Homewood Suites by Hilton Edison Woodbridge,The price is $186,$213 total
Hampton Inn Woodbridge,The price is $186,$214 total
Hampton Inn Nanuet,The price is $188,$209 total
John Hotel,The price is $189,$233 total
Asiatic Hotel by LaGuardia Airport,The price is $189,$220 total
Ramada by Wyndham Flushing Queens,The price is $189,$220 total
Best Western Paramus Hotel & Suites,The price is $189,$217 total
Knights Inn Brooklyn Sunset Park,The price is $189,$224 total
Elmhurst Hotel,The price is $189,$220 total
Flushing Central Hotel,The price is $189,$220 total
Chelsea Inn,The price is $190,$290 total
The Floral Park Motor Lodge,The price is $190,$216 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $191,$218 total
JG Sohotel,The price is $191,$248 total
Super 8 by Wyndham North Bergen NJ/NYC Area,The price is $191,$225 total
Fairfield Inn by Marriott LaGuardia Airport/Flushing,The price is $192,$224 total
Paramount Times Square,The price is $193,$265 total
Comfort Suites Newark - Harrison,The price is $193,$222 total
"Holiday Inn Clark - Newark Area, an IHG Hotel",The price is $193,$221 total
Hotel 365 Bronx,The price is $193,$225 total
The Lodge Red Hook,The price is $194,$226 total
The Lex NYC,The price is $195,$260 total
"Home2 Suites by Hilton Rahway, NJ",The price is $195,$223 total
The Grand Summit Hotel,The price is $195,$224 total
Courtyard by Marriott Newark Elizabeth,The price is $195,$228 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $196,$229 total
The Kenilworth,The price is $197,$226 total
Comfort Inn & Suites LaGuardia Airport,The price is $198,$230 total
The Jane Hotel,The price is $199,$232 total
"The Cloud One New York-Downtown, by the Motel One Group",The price is $199,$232 total
The Wilshire Grand Hotel,The price is $199,$228 total
Meadowlands Plaza Hotel,The price is $199,$234 total
Hyatt Place Fair Lawn Paramus,The price is $199,$228 total
Cabana Hotel Yankee Stadium,The price is $199,$232 total
Westchester Marriott,The price is $199,$228 total
Chelsea Mews Guest House All Male,The price is $200,$233 total
Comfort Inn & Suites,The price is $201,$230 total
Night Hotel Broadway,The price is $201,$249 total
Hampton Inn Paramus,The price is $201,$231 total
Hilton Garden Inn New York / Staten Island,The price is $201,$235 total
Edge Hotel,The price is $202,$235 total
Orchard Street Hotel,The price is $202,$250 total
Element Spring Valley,The price is $202,$225 total
Hilton Garden Inn Wayne,The price is $203,$233 total
"Hilton Garden Inn Westchester Dobbs Ferry, NY",The price is $203,$232 total
Marriott Saddle Brook,The price is $206,$236 total
Residence Inn by Marriott Yonkers Westchester County,The price is $206,$237 total
The Boro Hotel,The price is $206,$262 total
Four Points by Sheraton Flushing,The price is $206,$240 total
Best Western Brooklyn-Coney Island Inn,The price is $207,$241 total
Hotel Mimosa,The price is $207,$241 total
The Shelburne Sonesta New York,The price is $209,$288 total
The Ridge Hotel,The price is $209,$312 total
Extended Stay America Suites Secaucus Meadowlands,The price is $209,$246 total
Pod 39,The price is $209,$266 total
SoHo 54 Hotel,The price is $209,$278 total
Americana Inn,The price is $209,$258 total
Opera House Hotel,The price is $209,$261 total
Hotel Key LaGuardia Airport,The price is $209,$243 total
"Watt Hotel Rahway, Tapestry Collection by Hilton",The price is $209,$240 total
Courtyard by Marriott Montvale,The price is $209,$240 total
Casa Blanca Hotel Brooklyn,The price is $209,$244 total
Best Western Plus Brooklyn Bay Hotel,The price is $210,$244 total
Hilton Garden Inn Nanuet,The price is $211,$235 total
Madison LES Hotel,The price is $211,$268 total
DoubleTree by Hilton Fort Lee - George Washington Bridge,The price is $211,$241 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,The price is $212,$246 total
Millennium Hilton New York One UN Plaza,The price is $212,$276 total
Days Inn by Wyndham Brooklyn Marine Park,The price is $212,$250 total
TownePlace Suites by Marriott New York Long Island City/Manhattan View,The price is $212,$247 total
Howard Johnson by Wyndham North Bergen,The price is $212,$250 total
The Solita Soho Hotel,The price is $213,$271 total
"Club Quarters, Times Square - Midtown",The price is $214,$249 total
Courtyard by Marriott Newark Liberty International Airport,The price is $214,$246 total
Peachtree Suites,The price is $214,$250 total
Best Western Premier Empire State Hotel,The price is $214,$249 total
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,The price is $215,$252 total
Courtyard by Marriott Yonkers Westchester County,The price is $215,$247 total
Cambria Hotel West Orange,The price is $215,$247 total
Best Western Queens Gold Coast,The price is $216,$251 total
Rockaway Hotel Brooklyn,The price is $216,$252 total
Hilton Garden Inn New York/Manhattan-Midtown East,The price is $218,$253 total
Chelsea Pines Inn,The price is $218,$254 total
Feather Factory,The price is $218,$254 total
Pod Times Square,The price is $219,$278 total
"Club Quarters Hotel, World Trade Center",The price is $219,$255 total
World Center Hotel,The price is $219,$255 total
Lic Plaza Hotel,The price is $219,$255 total
"Vista LIC Hotel, BW Premier Collection",The price is $219,$255 total
The One Boutique Hotel,The price is $219,$255 total
Courtyard by Marriott New York Downtown Manhattan/Financial District,The price is $219,$255 total
Hampton Inn Manhattan-Seaport-Financial District,The price is $219,$255 total
The Andrew Hotel,The price is $220,$245 total
Courtyard by Marriott Wayne Fairfield,The price is $220,$252 total
La Quinta Inn & Suites by Wyndham Times Square South,The price is $220,$278 total
The Gatsby Hotel,The price is $220,$294 total
Redford Hotel,The price is $220,$271 total
Residence Inn by Marriott New York Downtown Manhattan/Financial District,The price is $220,$256 total
Renaissance Newark Airport Hotel,The price is $220,$252 total
Comfort Inn Brooklyn,The price is $220,$256 total
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",The price is $221,$288 total
LIC Hotel,The price is $221,$257 total
Fairfield Inn & Suites New York Queens/Fresh Meadows,The price is $222,$258 total
Residence Inn Woodbridge Edison/Raritan Center,The price is $222,$254 total
Best Western Gregory Hotel,The price is $223,$260 total
Sonesta White Plains Downtown,The price is $224,$277 total
Da Vinci Hotel,The price is $224,$261 total
Courtyard Long Island City/New York Manhattan View,The price is $224,$261 total
Moderne Hotel,The price is $224,$284 total
Courtyard by Marriott Newark Downtown,The price is $224,$258 total
"Holiday Inn Express NYC Brooklyn - Sunset Park, an IHG Hotel",The price is $224,$263 total
Hampton Inn & Suites Teaneck Glenpointe,The price is $224,$257 total
The Michelangelo Hotel,The price is $224,$306 total
DoubleTree by Hilton New York Downtown,The price is $224,$261 total
OYO Times Square,The price is $225,$305 total
Royal Regency Hotel,The price is $225,$268 total
"The Westfield Inn, BW Signature Collection",The price is $225,$251 total
"Holiday Inn Express Jamaica - JFK AirTrain - NYC, an IHG Hotel",The price is $226,$265 total
"Holiday Inn Express Maspeth, an IHG Hotel",The price is $227,$266 total
Residence Inn By Marriott West Orange,The price is $227,$260 total
The Benjamin Royal Sonesta New York,The price is $227,$311 total
Hampton Inn Manhattan/Downtown-Financial District,The price is $227,$264 total
Hampton Inn Brooklyn/Downtown,The price is $228,$265 total
DoubleTree by Hilton Hotel New York City - Chelsea,The price is $229,$266 total
Courtyard by Marriott New York World Trade Center Area,The price is $229,$266 total
"The Lexington Hotel, Autograph Collection",The price is $229,$301 total
Wingate by Wyndham Bronx/Haven Park,The price is $229,$266 total
"Insignia Hotel, Ascend Hotel Collection",The price is $229,$266 total
The Redbury New York,The price is $229,$301 total
Radisson Hotel New Rochelle,The price is $229,$274 total
The Gallivant Times Square,The price is $229,$284 total
Adria Hotel And Conference Center,The price is $229,$266 total
Quality Inn JFK Airport Rockaway Blvd,The price is $229,$270 total
Phoenix Hotel,The price is $229,$266 total
Hyatt Grand Central New York,The price is $229,$312 total
Hampton Inn & Suites Yonkers - Westchester,The price is $229,$263 total
Hotel 57,The price is $229,$313 total
Best Western Jamaica Inn,The price is $229,$267 total
Radio Hotel,The price is $230,$267 total
Dream Midtown,The price is $230,$300 total
DoubleTree by Hilton New York Midtown Fifth Ave,The price is $230,$267 total
Nesva Hotel,The price is $230,$267 total
The Gotham Hotel,The price is $231,$296 total
Hilton Newark Airport,The price is $233,$267 total
Quality Suites NYC Gateway,The price is $233,$274 total
"Martinique New York on Broadway, Curio Collection by Hilton",The price is $233,$317 total
DoubleTree by Hilton Fairfield Hotel & Suites,The price is $233,$267 total
"Hotel Indigo NYC Financial District, an IHG Hotel",The price is $233,$273 total
Sheraton Tarrytown Hotel,The price is $233,$267 total
Freehand New York,The price is $234,$306 total
"Club Quarters Hotel, Grand Central",The price is $234,$272 total
Hotel Boutique at Grand Central,The price is $234,$272 total
"Hotel Nyack, a JdV by Hyatt Hotel",The price is $234,$318 total
Aloft Manhattan Downtown - Financial District,The price is $234,$272 total
Ravel Hotel Trademark Collection by Wyndham,The price is $235,$273 total
Ramada by Wyndham Rockville Centre,The price is $236,$263 total
LaGuardia Plaza Hotel,The price is $236,$275 total
"Holiday Inn New York City - Wall Street, an IHG Hotel",The price is $237,$294 total
Residence Inn Orangeburg,The price is $237,$263 total
