Hotel Name,Advertised Price,Total Price
WE LOVE NYC: Romantic and super clean private room 25 min. from Times Square,The price is $55,$100 total
Days Inn by Wyndham Iselin / Woodbridge,The price is $68,$78 total
Americana Motel,The price is $70,$80 total
Days Inn by Wyndham Jersey City / NYC Area,The price is $72,$84 total
Travelodge by Wyndham South Hackensack,The price is $76,$89 total
Travelodge by Wyndham Avenel Woodbridge,The price is $77,$88 total
"Luxury Private Room in Westfield, 1 hour to NYC",The price is $79,$164 total
⭐️ Best Studio/RV To Visit NYC✈️EWR Airport-Free Parking,The price is $79,$251 total
Days Inn by Wyndham Wayne,The price is $85,$97 total
Ramada by Wyndham East Orange,The price is $93,$104 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $94,$104 total
Super 8 by Wyndham Meadowlands,The price is $95,$112 total
Newly Constructed Basement Two Bedroom Apartment,The price is $95,$171 total
Days Inn by Wyndham Ridgefield NJ,The price is $96,$113 total
Charming Apartment in Quiet Neighborhood,The price is $98,$158 total
Hotel Executive Suites,The price is $98,$112 total
Americas Best Value Inn Avenel Woodbridge,The price is $99,$113 total
Luxe Autos Exotic Rentals,The price is $99,$131 total
Howard Johnson Hotel by Wyndham Newark Airport,The price is $99,$114 total
Little Cottage w/priv entrance & bath.Close to NYC,The price is $99,$205 total
Super 8 by Wyndham Rahway/Newark,The price is $100,$114 total
Haiban Inn,The price is $100,$117 total
The Parkway-with king bed & private bathroom/Private room,The price is $100,$154 total
Flushing Hotel,The price is $100,$118 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Days Hotel by Wyndham North Bergen /NYC Area,The price is $101,$119 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $105,$121 total
The Vue Inn Brooklyn,The price is $107,$126 total
King Hotel Brooklyn Sunset Park,The price is $107,$131 total
Rockaway Hotel Brooklyn,The price is $108,$127 total
Travelodge by Wyndham Manhasset,The price is $110,$123 total
Kamway Lodge & Travel,The price is $110,$134 total
Lovely 1Bedroom - Minutes to EWR and NYC,The price is $110,$200 total
Crown Inn Motel,The price is $111,$127 total
Coliseum Inn & Suites - Garden City Long Island,The price is $112,$125 total
Howard Johnson by Wyndham Clifton NJ,The price is $113,$130 total
Lovely 1 bedroom rental unit.,The price is $115,$181 total
Ramada by Wyndham Staten Island,The price is $116,$137 total
Knights Inn Brooklyn Sunset Park,The price is $119,$144 total
Horizon Inn,The price is $120,$138 total
Tappan Zee Hotel,The price is $120,$134 total
L 3 Downtown Newark Guesthouse,The price is $120,$159 total
Private room with its own private bathroom,The price is $120,$199 total
Cozy Exotic Studio Retreat,The price is $120,$189 total
Hudson Plaza Motel Bayonne / Jersey City,The price is $125,$139 total
Paris Suites Hotel,The price is $125,$147 total
Best Western Plus Newark Airport West,The price is $125,$144 total
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",The price is $126,$148 total
Travelodge by Wyndham Jersey City,The price is $127,$148 total
Howard Johnson by Wyndham North Bergen,The price is $128,$150 total
Hampton Inn Linden,The price is $129,$147 total
Americana Inn,The price is $129,$166 total
Courtyard by Marriott Paramus,The price is $129,$148 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $129,$148 total
Townhouse Inn & Suites,The price is $130,$149 total
Studio 6 min to NYC station,The price is $130,$176 total
Royal Hotel Bronx,The price is $130,$153 total
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,The price is $132,$151 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $133,$152 total
Steinway Hotel,The price is $135,$158 total
A quiet apartment near to everything with free parking,The price is $135,$195 total
TRYP by Wyndham Newark Downtown,The price is $135,$156 total
Ardsley Acres Hotel Westchester,The price is $139,$159 total
Mitchell Executive Hotel,The price is $139,$159 total
Motel House,The price is $140,$176 total
Perfect near NYC,The price is $140,$196 total
Hotel Mint JFK Airport,The price is $142,$166 total
Hidden Oasis w/B&B option....,The price is $142,$178 total
The Floral Park Motor Lodge,The price is $143,$163 total
Hampton Inn & Suites Teaneck Glenpointe,The price is $144,$165 total
Hyatt Place Fair Lawn Paramus,The price is $144,$165 total
Super 8 by Wyndham Long Island City LGA Hotel,The price is $146,$171 total
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",The price is $146,$167 total
Extended Stay America Suites Newark Woodbridge,The price is $147,$169 total
Extended Stay America Suites Elizabeth Newark Airport,The price is $147,$172 total
Extended Stay America Suites White Plains Elmsford,The price is $147,$168 total
Queens Hotel,The price is $149,$176 total
Airway Inn at LaGuardia,The price is $149,$174 total
"Holiday Inn Newark International Airport, an IHG Hotel",The price is $149,$172 total
Red Roof Inn Fairfield,The price is $150,$172 total
Latisha house,The price is $150,$176 total
Latisha luxury place ,The price is $150,$276 total
Hampton Inn & Suites Staten Island,The price is $151,$176 total
"Holiday Inn Clark - Newark Area, an IHG Hotel",The price is $151,$173 total
Sonesta Simply Suites Nanuet,The price is $152,$169 total
Fairfield Inn & Suites Newark Liberty International Airport,The price is $152,$175 total
Casa Azul Hotel Blu JFK,The price is $152,$190 total
Umbrella Hotel Brooklyn,The price is $152,$178 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $152,$175 total
The Brooklyn,The price is $153,$201 total
Extended Stay America Suites Meadowlands Rutherford,The price is $157,$184 total
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",The price is $158,$181 total
Red Carpet Inn Elmwood Park,The price is $158,$182 total
Midtown West Hotel,The price is $159,$201 total
Meadowlands Plaza Hotel,The price is $159,$187 total
Asiatic Hotel by LaGuardia Airport,The price is $159,$186 total
The Westfield Inn | An elegant boutique hotel at New Jersey,The price is $160,$202 total
Ramada by Wyndham Rockville Centre,The price is $161,$179 total
Fairfield Inn & Suites by Marriott Woodbridge,The price is $161,$185 total
Courtyard by Marriott Wayne Fairfield,The price is $161,$185 total
Fairfield Inn & Suites by Marriott Paramus,The price is $161,$185 total
Extended Stay America Suites Meadowlands East Rutherford,The price is $161,$190 total
SpringHill Suites by Marriott Newark Liberty International,The price is $163,$187 total
Hilton Garden Inn New York / Staten Island,The price is $163,$190 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $163,$192 total
Fairfield Inn & Suites by Marriott New York Staten Island,The price is $164,$192 total
Days Inn by Wyndham Elmsford / White Plains,The price is $165,$192 total
Luxuriously Confidential Suite with Private Entrance,The price is $165,$189 total
Extended Stay America Suites Secaucus Meadowlands,The price is $166,$196 total
Wheeler Hotel,The price is $167,$195 total
The Central Park North,The price is $169,$197 total
Midtown Convention Center Hotel,The price is $170,$214 total
"Holiday Inn Express Newark Airport Elizabeth, an IHG Hotel",The price is $170,$195 total
Ramada by Wyndham Jersey City,The price is $170,$198 total
"Holiday Inn Express Woodbridge, an IHG Hotel",The price is $170,$195 total
Flushing Central Hotel,The price is $170,$199 total
Hotel 365 Bronx,The price is $172,$201 total
Hampton Inn Nanuet,The price is $174,$194 total
Luxuriously Comfortable Suite,The price is $175,$200 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $175,$201 total
Days Inn by Wyndham Brooklyn Marine Park,The price is $178,$211 total
Hampton Inn White Plains/Tarrytown,The price is $178,$209 total
Courtyard by Marriott Newark Liberty International Airport,The price is $178,$205 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Cozy Nights 2Bedroom,The price is $180,$290 total
Wyndham Garden North Bergen Near Secaucus,The price is $180,$212 total
Best Western Fort Lee,The price is $181,$209 total
"Home2 Suites by Hilton Wayne, NJ",The price is $183,$210 total
Hilton Garden Inn Wayne,The price is $183,$210 total
Delta Hotels by Marriott Woodbridge,The price is $188,$216 total
The Park Ave North,The price is $189,$220 total
Ramada by Wyndham Bronx,The price is $194,$226 total
DoubleTree by Hilton Fairfield Hotel & Suites,The price is $194,$222 total
"Crowne Plaza Saddle Brook, an IHG Hotel",The price is $195,$223 total
SpringHill Suites by Marriott Woodbridge,The price is $195,$224 total
Courtyard by Marriott Yonkers Westchester County,The price is $197,$226 total
Element Spring Valley,The price is $202,$225 total
Four Points by Sheraton Midtown-Times Square,The price is $203,$236 total
Hilton Garden Inn Ridgefield Park,The price is $203,$233 total
The Local,The price is $204,$238 total
The Manhattan at Times Square Hotel,The price is $209,$284 total
TRYP by Wyndham New York City Times Square / Midtown,The price is $212,$269 total
Westminster Hotel,The price is $215,$247 total
"Hotel Nyack, a JdV by Hyatt Hotel",The price is $219,$301 total
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",The price is $221,$288 total
"Holiday Inn Westbury - Long Island, an IHG Hotel",The price is $224,$250 total
Sheridan Hotel,The price is $227,$264 total
The Andrew Hotel,The price is $229,$256 total
Hampton Inn & Suites Newark-Harrison-Riverwalk,The price is $231,$264 total
Hampton Inn & Suites Fairfield,The price is $231,$265 total
Marriott Saddle Brook,The price is $233,$267 total
"Candlewood Suites Secaucus - Meadowlands, an IHG Hotel",The price is $233,$274 total
The One Boutique Hotel,The price is $239,$278 total
Selina Chelsea,The price is $239,$300 total
Sleepy Hollow Hotel,The price is $245,$280 total
Casa Blanca Hotel Brooklyn,The price is $249,$289 total
Heritage Hotel,The price is $269,$312 total
Residence Inn by Marriott Saddle River,The price is $269,$308 total
Truss Hotel Times Square ,The price is $269,$312 total
Hampton Inn Manhattan Grand Central,The price is $269,$313 total
Aliz Hotel Times Square,The price is $278,$357 total
Broadway Plaza Hotel,The price is $279,$335 total
"Club Quarters Hotel, Grand Central",The price is $279,$324 total
Hotel Boutique at Grand Central,The price is $279,$324 total
Hyatt House New York/Chelsea,The price is $281,$330 total
Arlo SoHo,The price is $281,$355 total
World Center Hotel,The price is $284,$329 total
"Club Quarters Hotel, World Trade Center",The price is $284,$329 total
"Holiday Inn Express - New York City Chelsea, an IHG Hotel",The price is $284,$349 total
"Staypineapple, An Artful Hotel, Midtown",The price is $285,$359 total
Four Points by Sheraton Manhattan SoHo Village,The price is $287,$333 total
Aloft Manhattan Downtown - Financial District,The price is $295,$342 total
Millennium Downtown New York,The price is $296,$378 total
