Hotel Name,Advertised Price,Total Price
Days Inn by Wyndham Wayne,The price is $76,$87 total
Tides Motor Inn at Stehli Beach,The price is $79,$88 total
Days Inn by Wyndham Iselin / Woodbridge,The price is $85,$97 total
Cozy 1st Floor / Basement Apartment 15 min from NYC!,The price is $85,$171 total
Quality Inn Wayne - Fairfield Area,The price is $94,$107 total
Phoenix Hotel,The price is $94,$111 total
Extended Stay America Suites Newark Woodbridge,The price is $95,$109 total
Mamaroneck Motel,The price is $96,$110 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $98,$109 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $98,$113 total
31 Street Broadway Hotel,The price is $99,$333 total
Americas Best Value Inn Avenel Woodbridge,The price is $99,$113 total
Quality Inn Spring Valley - Nanuet,The price is $100,$111 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Rodeway Inn,The price is $101,$113 total
Travelodge by Wyndham South Hackensack,The price is $102,$120 total
Bowery Grand Hotel,The price is $103,$122 total
"Red Carpet Inn Newark Irvington, NJ",The price is $103,$119 total
"Motel 6 Elizabeth, NJ - Newark Liberty Intl Airport",The price is $104,$124 total
Super 8 by Wyndham Meadowlands,The price is $109,$128 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $109,$125 total
Crown Inn Motel,The price is $109,$125 total
Coliseum Inn & Suites - Garden City Long Island,The price is $115,$129 total
Hotel Executive Suites,The price is $116,$133 total
Rodeway Inn Meadowlands,The price is $116,$137 total
APA Hotel Woodbridge,The price is $118,$135 total
Super 8 by Wyndham Nyack NY,The price is $119,$136 total
Rodeway Inn Jersey City near Hoboken,The price is $119,$139 total
Inn at Jericho,The price is $119,$133 total
Howard Johnson by Wyndham North Bergen,The price is $119,$140 total
Red Roof Inn Fairfield,The price is $120,$138 total
Tappan Zee Hotel,The price is $120,$134 total
Days Inn by Wyndham Elmsford / White Plains,The price is $123,$144 total
Super 8 by Wyndham Rahway/Newark,The price is $124,$142 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $125,$147 total
Ramada by Wyndham East Orange,The price is $127,$142 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $128,$150 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $129,$148 total
Horizon Inn,The price is $130,$149 total
Super 8 by Wyndham Long Island City LGA Hotel,The price is $131,$154 total
Super 8 by Wyndham North Bergen NJ/NYC Area,The price is $132,$155 total
