Hotel Name,Advertised Price,Total Price
Days Inn by Wyndham Wayne,The price is $80,$92 total
Cozy 1st Floor / Basement Apartment 15 min from NYC!,The price is $85,$171 total
Mamaroneck Motel,The price is $96,$110 total
Quality Inn Wayne - Fairfield Area,The price is $96,$110 total
Americas Best Value Inn Avenel Woodbridge,The price is $99,$113 total
Nyack Hide Away,The price is $99,$154 total
"Motel 6 Elizabeth, NJ - Newark Liberty Intl Airport",The price is $99,$118 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Rodeway Inn,The price is $101,$113 total
Travelodge by Wyndham South Hackensack,The price is $102,$120 total
Bowery Grand Hotel,The price is $103,$122 total
Quality Inn Spring Valley - Nanuet,The price is $106,$118 total
Crown Inn Motel,The price is $108,$124 total
Extended Stay America Suites Newark Woodbridge,The price is $109,$125 total
Super 8 by Wyndham Rahway/Newark,The price is $109,$125 total
Rodeway Inn Capri,The price is $110,$129 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $110,$123 total
L 3 Downtown Newark Guesthouse,The price is $112,$149 total
American Dream 10 mins! 1BDR,The price is $112,$254 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $114,$131 total
Coliseum Inn & Suites - Garden City Long Island,The price is $115,$129 total
Hotel Executive Suites,The price is $116,$133 total
"Red Carpet Inn Newark Irvington, NJ",The price is $117,$135 total
31 Street Broadway Hotel,The price is $119,$371 total
Inn at Jericho,The price is $119,$133 total
Holly Hill Motel,The price is $119,$133 total
Days Inn by Wyndham Elmsford / White Plains,The price is $119,$140 total
Horizon Inn,The price is $120,$138 total
Tappan Zee Hotel,The price is $120,$134 total
Hotel Mint JFK Airport,The price is $120,$142 total
Super 8 by Wyndham North Bergen NJ/NYC Area,The price is $127,$149 total
Ramada by Wyndham East Orange,The price is $127,$142 total
Rodeway Inn Jersey City near Hoboken,The price is $127,$149 total
Tides Motor Inn at Stehli Beach,The price is $129,$144 total
Rodeway Inn,The price is $129,$148 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $129,$148 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $129,$148 total
Studio 6 min to NYC station,The price is $130,$176 total
Super 8 by Wyndham Meadowlands,The price is $133,$157 total
Hudson Plaza Motel Bayonne / Jersey City,The price is $133,$149 total
Turkey Hill Inn,The price is $135,$155 total
Super 8 by Wyndham Nyack NY,The price is $136,$156 total
"Robert Treat Hotel, BW Premier Collection",The price is $136,$157 total
Mitchell Executive Hotel,The price is $137,$157 total
Ardsley Acres Hotel Westchester,The price is $139,$159 total
Comfort Inn Paramus,The price is $140,$160 total
Voyage Hotel,The price is $140,$164 total
The Wayne Inn,The price is $141,$161 total
Extended Stay America Suites Elizabeth Newark Airport,The price is $142,$167 total
