restaurant,city,address1,address2
Starbucks,New York,Starbucks,"28 Park Row, New York, NY 10038, United States of America"
Dunkin',New York,Dunkin',"5 Park Place, New York, NY 10007, United States of America"
Potbelly,New York,Potbelly,"280 Broadway, New York, NY 10007, United States of America"
Augustine,New York,Augustine,"5 Beekman Street, New York, NY 10000, United States of America"
Blue Spoon Coffee Company,New York,Blue Spoon Coffee Company,"76 Chambers Street, New York, NY 10007, United States of America"
Aahar,New York,Aahar,"10 Murray Street, New York, NY 10007, United States of America"
Five & Dime,New York,Five & Dime,"Park Place, New York, NY 10007, United States of America"
Chipotle,New York,Chipotle,"281 Broadway, New York, NY 10007, United States of America"
Dunkin',New York,Dunkin',"Nassau Street, New York, NY 10038, United States of America"
Healthy Joe’s,New York,Healthy Joe’s,"10 Murray Street, New York, NY 10007, United States of America"
Starbucks,New York,Starbucks,"Broadway, New York, NY 10279, United States of America"
Dark Horse,New York,Dark Horse,"17 Murray Street, New York, NY 10007, United States of America"
Dark Horse,New York,Dark Horse,"17 Murray Street, New York, NY 10007, United States of America"
Little Italy Pizza,New York,Little Italy Pizza,"Park Place, New York, NY 10007, United States of America"
The Beekman Pub,New York,The Beekman Pub,"15-17 Beekman Street, New York, NY 10038, United States of America"
Birch Coffee,New York,Birch Coffee,"8 Spruce Street, New York, NY 10038, United States of America"
B & Co,New York,B & Co,"22 Park Place, New York, NY 10007, United States of America"
Gran Morsi,New York,Gran Morsi,"22 Warren Street, New York, NY 10007, United States of America"
Starbucks,New York,Starbucks,"291 Broadway, New York, NY 10007, United States of America"
Takahachi Bakery,New York,Takahachi Bakery,"25 Murray Street, New York, NY 10007, United States of America"
Nassau Bar,New York,Nassau Bar,"118 Nassau Street, New York, NY 10038, United States of America"
Maxwell's,New York,Maxwell's,"Reade Street, New York, NY 10013, United States of America"
Lenwich,New York,Lenwich,"25 Park Place, New York, NY 10007, United States of America"
Corte Cafe,New York,Corte Cafe,"2 Lafayette Street, New York, NY 10007, United States of America"
Saffron,New York,Saffron,"98 Chambers Street, New York, NY 10007, United States of America"
Sandwich House,New York,Sandwich House,"17 Ann Street, New York, NY 10038, United States of America"
Pita Express,New York,Pita Express,"15 Ann Street, New York, NY 10038, United States of America"
Da Claudio,New York,Da Claudio,"21 Ann Street, New York, NY 10279, United States of America"
Dunkin',New York,Dunkin',"100 Chambers Street, New York, NY 10007, United States of America"
Dunkin',New York,Dunkin',"Church Street, New York, NY 10013, United States of America"
Starbucks,New York,Starbucks,"54 Murray Street, New York, NY 10007, United States of America"
Los Tacos No. 1,New York,Los Tacos No. 1,"Warren Street, New York, NY 10007, United States of America"
Subway,New York,Subway,"Church Street, New York, NY 10013, United States of America"
Pisillo Italian Panini,New York,Pisillo Italian Panini,"Nassau Street, New York, NY 10038, United States of America"
Dante’s,New York,Dante’s,"166 William Street, New York, NY 10038, United States of America"
Baba Ghanouge,New York,Baba Ghanouge,"Church Street, New York, NY 10013, United States of America"
Ainsworth,New York,Ainsworth,"46 Ann Street, New York, NY 10038, United States of America"
Ciao,New York,Ciao,"Nassau Street, New York, NY 10038, United States of America"
Rosa Mexicano,New York,Rosa Mexicano,"41 Murray Street, New York, NY 10007, United States of America"
Rosella’s Pizza,New York,Rosella’s Pizza,"164 William Street, New York, NY 10038, United States of America"
1803NYC,New York,1803NYC,"82 Reade Street, New York, NY 10013, United States of America"
Sole Di Capri,New York,Sole Di Capri,"Reade Street, New York, NY 10013, United States of America"
Bengal Curry,New York,Bengal Curry,"65 West Broadway, New York, NY 10012, United States of America"
Hungry Ghost,New York,Hungry Ghost,"165 Church Street, New York, NY 10007, United States of America"
Pret A Manger,New York,Pret A Manger,"100 Church Street, New York, NY 10013, United States of America"
Sola Lab,New York,Sola Lab,"45 Beekman Street, New York, NY 10038, United States of America"
The Patriot Saloon,New York,The Patriot Saloon,"110 Chambers Street, New York, NY 10007, United States of America"
Aroma Espresso Bar,New York,Aroma Espresso Bar,"Church Street, New York, NY 10007, United States of America"
Benares,New York,Benares,"45 Murray Street, New York, NY 10007, United States of America"
Little Italy Pizza,New York,Little Italy Pizza,"Chambers Street, New York, NY 10007, United States of America"
