Hotel Name,Advertised Price,Total Price
*New* 2 BR+patio+workspace+parking near Seton Hall,175.00,410.00
00 Cozy apt and easy transportation to New York City,215.00,345.00
1 Hotel Brooklyn Bridge,640.58,672.54
1 Hotel Central Park,586.54,575.08
11 Howard,433.31,540.94
1850s historic Row House 7min train to NYC with private backyard,268.00,676.50
1wny Cozy Transportation 2new York City,237.00,327.00
2 bedroom 2 bathroom 1700 square feet 20 miles from New York City.<br>,500.00,629.00
2 x Grand Deluxe King at Royalton Park Avenue,511.24,152.12
20% OFF | Near NYC★Airport 15 min★Free Parking★Play Pool★Gym★American Dream Mall,399.00,640.00
3 West Club,250.96,291.38
"30% OFF-2br w/King bd, Near NYC, EWR and NJ Penn",338.00,551.00
31 Street Broadway Hotel,111.80,357.70
33 Seaport Hotel New York,580.79,676.69
42 Hotel,382.76,442.82
4Bdrm and 2battrm centrally located in Newark close to NY/EWR/Berth Israel Hosp,200.00,378.00
5th & 55th Residence Club,472.50,460.50
6 Columbus Central Park Hotel,329.29,415.85
7 Days Hotel Bronx,175.59,205.07
7privateroom Jacuzzi/massage Sit/parking/15mins2ny,312.75,373.75
7privateroom Jacuzzimassage Sitparking15mins2ny,275.40,384.60
A place of home from home.,240.00,338.50
A quiet apartment near to everything with free parking,140.00,200.54
AC Hotel by Marriott New York Downtown,357.10,413.12
AC Hotel by Marriott New York Times Square,364.00,421.13
APA Hotel Woodbridge,144.77,165.84
Ace Hotel Brooklyn,444.20,538.20
Ace Hotel New York,336.50,429.88
Action Lodge 3Bedroom and 2Bathroom,159.00,394.67
Adria Hotel And Conference Center,226.00,262.63
Airway Inn at LaGuardia,154.49,180.53
Aliz Hotel Times Square,329.69,416.18
Allegria Hotel,339.22,428.61
Aloft Harlem,339.80,393.36
Aloft Long Island City - Manhattan View,283.81,329.15
Aloft Manhattan Downtown - Financial District,266.35,287.41
Aloft New York Brooklyn,308.38,359.53
Aloft New York Chelsea,305.38,353.88
Aloft New York LaGuardia Airport,312.23,361.82
Aloft Secaucus Meadowlands,229.83,270.13
American Dream 10 mins! 1BDR,112.60,254.50
Americana Inn,165.49,208.08
Americana Motel,70.00,80.00
Americas Best Value Inn Avenel Woodbridge,99.00,113.00
Ameritania Hotel at Times Square,348.33,426.16
Andaz 5th Avenue - a concept by Hyatt,556.06,661.78
Archer Hotel New York,422.60,350.64
Ardsley Acres Hotel Westchester,149.80,171.39
Arlo Midtown,314.78,393.25
Arlo NoMad,313.94,392.22
Arlo SoHo,314.61,393.16
Artezen Hotel,270.12,329.54
Arthouse Hotel New York City,368.13,470.65
Asiatic Hotel by LaGuardia Airport,164.76,192.34
"Avion Inn Near LGA Airport, Ascend Hotel Collection",161.17,188.43
Baccarat Hotel and Residences New York,470.44,204.42
Baymont by Wyndham White Plains - Elmsford,568.43,115.79
Beautiful 1 Bedroom Apartment Entire Unit,125.00,207.69
"Beauty w/ Free Parking In the ❤️Of Downtown Newark, 2 Queen Beds, Near NYC & EWR",399.00,641.00
Best Location!! Steps to Newark Penn Station,159.00,300.00
Best Western Brooklyn-Coney Island Inn,161.32,189.02
Best Western Fort Lee,187.88,217.22
Best Western Gregory Hotel,217.74,253.74
Best Western Jamaica Inn,183.27,214.19
Best Western Mill River Manor,232.00,258.94
Best Western Paramus Hotel & Suites,181.04,207.43
Best Western Plus Brooklyn Bay Hotel,226.40,263.32
Best Western Plus Fairfield Executive Inn,211.19,242.19
Best Western Plus Hospitality House,392.69,454.51
Best Western Plus Newark Airport West,158.23,182.19
Best Western Plus Soho Hotel,340.08,393.92
Best Western Premier Empire State Hotel,297.96,345.52
Best Western Premier NYC Gateway Hotel,244.94,289.94
Best Western Queens Court Hotel,143.69,168.60
Best Western Queens Gold Coast,214.22,249.34
Best Western The Inn At Ramsey,103.19,118.52
Boutique Hotel in the Heart of Long Island's North Shore,170.60,214.80
Bowery Grand Hotel,93.86,111.36
Brand New Decorative Studio Apt. in Bloomfield,160.00,325.25
Broadway Plaza Hotel,282.12,338.69
"Brooklyn Vybe Hotel, Ascend Hotel Collection",176.45,213.48
CIVILIAN Hotel,315.49,365.53
CODA Williamsburg,374.88,491.00
COZY PRIVATE STUDIO w/  Free Off-Street Parking & Washer/Dryer,125.00,200.00
Cabana Hotel Yankee Stadium,197.48,230.24
Cachet Boutique New York,368.39,450.77
Cambria Hotel New York - Chelsea,297.20,344.51
Cambria Hotel West Orange,208.39,239.22
Cambria Hotel White Plains - Downtown,271.71,310.64
Canal Loft Hotel,153.13,220.68
"Candlewood Suites New York City-Times Square, an IHG Hotel",348.88,423.17
"Candlewood Suites Secaucus - Meadowlands, an IHG Hotel",226.44,266.32
Canopy by Hilton Jersey City Arts District,307.11,358.05
Carnegie Hotel,416.29,538.60
Casa Azul Hotel Blu JFK,152.65,190.71
Casa Blanca Hotel Brooklyn,231.00,268.69
Casa Cipriani New York,391.71,365.61
Casablanca Hotel by Library Hotel Collection,422.52,513.32
Castle Hotel & Spa,341.21,390.28
