entertainment,city,postcode,housenumber,street,state,address2,longitude,latitude
Ronald O. Perelman Performing Arts Center,New York,10048,58,Church Street,New York,"58 Church Street, New York, NY 10048, United States of America",-74.01229284380794,40.71261975
81 Leonard Gallery,New York,10013,,Leonard Street,New York,"Leonard Street, New York, NY 10013, United States of America",-74.0049014,40.7174539
9/11 Memorial & Museum,New York,10007,180,Greenwich Street,New York,"180 Greenwich Street, New York, NY 10007, United States of America",-74.01267026823709,40.711452699999995
Mmuseumm,New York,10013,4,Cortlandt Alley,New York,"4 Cortlandt Alley, New York, NY 10013, United States of America",-74.0028203,40.7173656
The Print Room,New York,10013,89,Franklin Street,New York,"89 Franklin Street, New York, NY 10013, United States of America",-74.0049073,40.7179792
Access Theater,New York,10013,380,Broadway,New York,"380 Broadway, New York, NY 10013, United States of America",-74.0028387,40.7180547
Andrew Kreps Gallery,New York,10013,22,Cortlandt Alley,New York,"22 Cortlandt Alley, New York, NY 10013, United States of America",-74.0020133,40.7181761
David Lewis Gallery,New York,10013,57,Walker Street,New York,"57 Walker Street, New York, NY 10013, United States of America",-74.0032329,40.7188402
South Street Seaport Museum,New York,10038,12,Fulton Street,New York,"12 Fulton Street, New York, NY 10038, United States of America",-74.0036758,40.706628
Alexander and Bonin,New York,10013,47,Walker Street,New York,"47 Walker Street, New York, NY 10013, United States of America",-74.0036388,40.7190232
Imagination Playground,New York,10038,,John Street,New York,"John Street, New York, NY 10038, United States of America",-74.00408831538488,40.70620795
iPic Theaters,New York,10038,11,Fulton Street,New York,"11 Fulton Street, New York, NY 10038, United States of America",-74.0030665,40.7066783
Roxy Cinema New York,New York,10013,2,6th Avenue,New York,"2 6th Avenue, New York, NY 10013, United States of America",-74.0048228,40.7192924
Museum of American Finance,New York,10005,48,Wall Street,New York,"48 Wall Street, New York, NY 10005, United States of America",-74.0091958,40.7063713
Regal Battery Park,New York,10282,102,North End Avenue,New York,"102 North End Avenue, New York, NY 10282, United States of America",-74.015169,40.714742
