Hotel Name,address2,housenumber,street,city,postcode,Advertised Price,Total Price,longitude,latitude
1 Hotel Brooklyn Bridge,"Furman Street, New York, NY 11201, United States of America",,Furman Street,New York,11201,640.58,672.54,-73.99552287447698,40.70232695
1 Hotel Central Park,"1414 6th Avenue, New York, NY 10019, United States of America",1414,6th Avenue,New York,10019,586.54,575.08,-73.97650717361952,40.7647093
Aliz Hotel Times Square,"310 West 40th Street, New York, NY 10018, United States of America",310,West 40th Street,New York,10018,329.69,416.18,-73.99168645258621,40.75611775
Americana Inn,"69 West 38th Street, New York, NY 10018, United States of America",69,West 38th Street,New York,10018,165.49,208.08,-73.9855082,40.7522336
Arlo NoMad,"11 East 31st Street, New York, NY 10016, United States of America",11,East 31st Street,New York,10016,313.94,392.22,-73.98490964756711,40.74633185
Broadway Plaza Hotel,"1155 Broadway, New York, NY 10001, United States of America",1155,Broadway,New York,10001,282.12,338.69,-73.9891087,40.744469
Canal Loft Hotel,"94 Canal Street, New York, NY 10002, United States of America",94,Canal Street,New York,10002,153.13,220.68,-73.99378700279746,40.7152705
Chelsea Pines Inn,"317 14th Street (PATH) underground passage, New York, NY 10011, United States of America",317,14th Street (PATH) underground passage,New York,10011,268.76,311.88,-74.003365,40.74036855
City Club Hotel,"55 West 44th Street, New York, NY 10036, United States of America",55,West 44th Street,New York,10036,506.73,610.08,-73.98211376046096,40.75593355
Conrad New York Downtown,"102 North End Avenue, New York, NY 10282, United States of America",102,North End Avenue,New York,10282,507.17,587.3,-74.015694,40.7149558
Conrad New York Midtown,"151 West 54th Street, New York, NY 10019, United States of America",151,West 54th Street,New York,10019,603.06,674.7,-73.98050656899403,40.76345465
Courtyard Jersey City Newport,"540 Washington Boulevard, Jersey City, NJ 07310, United States of America",540,Washington Boulevard,Jersey City,7310,289.33,337.53,-74.03392403052172,40.7275611
Da Vinci Hotel,"244 West 56th Street, New York, NY 10019, United States of America",244,West 56th Street,New York,10019,312.4,361.97,-73.98301340242708,40.7656207
DoubleTree by Hilton New York Downtown,"8 Stone Street, New York, NY 10004, United States of America",8,Stone Street,New York,10004,295.86,342.92,-74.01228315645415,40.70383305
Doxie Hotel,"273 West 38th Street, New York, NY 10018, United States of America",273,West 38th Street,New York,10018,313.03,362.93,-73.99107562966383,40.75471795
Dream Downtown,"355 West 16th Street, New York, NY 10011, United States of America",355,West 16th Street,New York,10011,354.76,460.47,-74.00330255133005,40.7422931
Dream Midtown,"210 West 55th Street, New York, NY 10019, United States of America",210,West 55th Street,New York,10019,336.78,422.46,-73.9817987,40.7643557
"EVEN Hotel Brooklyn, an IHG Hotel","46 Nevins Street, New York, NY 11217, United States of America",46,Nevins Street,New York,11217,265.44,324.84,-73.98178251046758,40.68763715
EVEN Hotel New York - Times Square South,"321 West 35th Street, New York, NY 10018, United States of America",321,West 35th Street,New York,10018,419.12,511.59,-73.99387580201252,40.7534756
East Village Hotel,"147 1st Avenue, New York, NY 10003, United States of America",147,1st Avenue,New York,10003,334.24,387.08,-73.9851732,40.7284266
