tranportation,city,postcode,street,state,address2,longitude,latitude
Brooklyn Bridge–City Hall,New York,10000,Centre Street,New York,"Centre Street, New York, NY 10000, United States of America",-74.0050702,40.71235
City Hall,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.006978,40.713282
Park Row & Spruce Street,New York,10007,Park Row,New York,"Park Row, New York, NY 10007, United States of America",-74.0066059,40.7119779
Park Row & Spruce Street,New York,10000,Park Row,New York,"Park Row, New York, NY 10000, United States of America",-74.0061603,40.7118408
Chambers Street & Broadway,New York,10000,Chambers Street,New York,"Chambers Street, New York, NY 10000, United States of America",-74.0059659,40.7139131
Park Row & Beekman Street,New York,10007,Park Row,New York,"Park Row, New York, NY 10007, United States of America",-74.0069035,40.7118883
Broadway & Murray Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0075138,40.7128763
Broadway & Warren Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0067437,40.7138107
Park Row & Spruce Street,New York,10000,Park Row,New York,"Park Row, New York, NY 10000, United States of America",-74.0066373,40.7117237
Broadway/Warren Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0066843,40.7138623
Broadway & Park Place,New York,10007,Park Place,New York,"Park Place, New York, NY 10007, United States of America",-74.0076372,40.7127482
Broadway & Chambers Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0066029,40.7139622
Chambers Street–World Trade Center–Park Place–Cortlandt Street,New York,10000,Park Row,New York,"Park Row, New York, NY 10000, United States of America",-74.0097157700624,40.71266655
Chambers Street & Broadway,New York,10000,Chambers Street,New York,"Chambers Street, New York, NY 10000, United States of America",-74.0061225,40.7141343
Broadway & Park Place,New York,10279,Broadway,New York,"Broadway, New York, NY 10279, United States of America",-74.0079842,40.712324
Chambers Street,New York,10000,Chambers Street,New York,"New York, NY 10000, United States of America",-74.0038204,40.7129921
Broadway & Barclay Street,New York,10279,Broadway,New York,"Broadway, New York, NY 10279, United States of America",-74.0081064,40.7121847
Fulton Street,New York,10038,Dutch Street,New York,"Dutch Street, New York, NY 10038, United States of America",-74.00700865114402,40.709853800000005
Broadway & Barclay Street,New York,10279,Broadway,New York,"Broadway, New York, NY 10279, United States of America",-74.0083724,40.7118756
Warren Street & Church Street,New York,10007,Warren Street,New York,"Warren Street, New York, NY 10007, United States of America",-74.0080578,40.7141622
Broadway & Reade Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-74.0058386,40.7148957
Chambers Street & Church Street,New York,10007,Chambers Street,New York,"Chambers Street, New York, NY 10007, United States of America",-74.007623,40.714719
Church Street & Warren Street,New York,10013,Church Street,New York,"Church Street, New York, NY 10013, United States of America",-74.0083846,40.7141894
Park Place,New York,10007,Park Place,New York,"New York, NY 10007, United States of America",-74.0091645,40.7132181
Chambers Street & Church Street,New York,10007,Chambers Street,New York,"Chambers Street, New York, NY 10007, United States of America",-74.0077211,40.7148762
Chambers Street,New York,10013,Church Street,New York,"Church Street, New York, NY 10013, United States of America",-74.0079676,40.7149161
