Hotel Name,Advertised Price,Total Price
*New* 2 BR+patio+workspace+parking near Seton Hall,175,410
00 Cozy apt and easy transportation to New York City,215,345
1 Hotel Brooklyn Bridge,640.5769231,672.5384615
1 Hotel Central Park,586.5416667,575.0833333
11 Howard,433.3137255,540.9411765
1850s historic Row House 7min train to NYC with private backyard,268,676.5
1wny Cozy Transportation 2new York City,237,327
2 bedroom 2 bathroom 1700 square feet 20 miles from New York City.<br>,500,629
2 x Grand Deluxe King at Royalton Park Avenue,511.2424242,152.1212121
20% OFF | Near NYC★Airport 15 min★Free Parking★Play Pool★Gym★American Dream Mall,399,640
3 West Club,250.9615385,291.3846154
"30% OFF-2br w/King bd, Near NYC, EWR and NJ Penn",338,551
31 Street Broadway Hotel,111.8,357.7
33 Seaport Hotel New York,580.7916667,676.6875
42 Hotel,382.7647059,442.8235294
4Bdrm and 2battrm centrally located in Newark close to NY/EWR/Berth Israel Hosp,200,378
5th & 55th Residence Club,472.5,460.5
6 Columbus Central Park Hotel,329.2916667,415.8541667
7 Days Hotel Bronx,175.5862069,205.0689655
7privateroom Jacuzzi/massage Sit/parking/15mins2ny,312.75,373.75
7privateroom Jacuzzimassage Sitparking15mins2ny,275.4,384.6
A place of home from home.,240,338.5
A quiet apartment near to everything with free parking,140,200.5416667
AC Hotel by Marriott New York Downtown,357.1020408,413.122449
AC Hotel by Marriott New York Times Square,364,421.1315789
APA Hotel Woodbridge,144.7741935,165.8387097
Ace Hotel Brooklyn,444.2,538.2
Ace Hotel New York,336.5,429.875
Action Lodge 3Bedroom and 2Bathroom,159,394.6666667
Adria Hotel And Conference Center,226,262.625
Airway Inn at LaGuardia,154.4901961,180.5294118
Aliz Hotel Times Square,329.6862745,416.1764706
Allegria Hotel,339.2222222,428.6111111
Aloft Harlem,339.8,393.3555556
Aloft Long Island City - Manhattan View,283.8076923,329.1538462
Aloft Manhattan Downtown - Financial District,266.3478261,287.4130435
Aloft New York Brooklyn,308.375,359.53125
Aloft New York Chelsea,305.375,353.875
Aloft New York LaGuardia Airport,312.2272727,361.8181818
Aloft Secaucus Meadowlands,229.826087,270.1304348
American Dream 10 mins! 1BDR,112.6,254.5
Americana Inn,165.4864865,208.0810811
Americana Motel,70,80
Americas Best Value Inn Avenel Woodbridge,99,113
Ameritania Hotel at Times Square,348.3333333,426.1568627
Andaz 5th Avenue - a concept by Hyatt,556.06,661.78
Archer Hotel New York,422.6,350.6444444
Ardsley Acres Hotel Westchester,149.8039216,171.3921569
Arlo Midtown,314.7843137,393.254902
Arlo NoMad,313.9411765,392.2156863
Arlo SoHo,314.6078431,393.1568627
Artezen Hotel,270.12,329.54
Arthouse Hotel New York City,368.125,470.6458333
Asiatic Hotel by LaGuardia Airport,164.76,192.34
"Avion Inn Near LGA Airport, Ascend Hotel Collection",161.173913,188.4347826
Baccarat Hotel and Residences New York,470.4375,204.4166667
Baymont by Wyndham White Plains - Elmsford,568.4255319,115.787234
Beautiful 1 Bedroom Apartment Entire Unit,125,207.6923077
"Beauty w/ Free Parking In the ❤️Of Downtown Newark, 2 Queen Beds, Near NYC & EWR",399,641
Best Location!! Steps to Newark Penn Station,159,300
Best Western Brooklyn-Coney Island Inn,161.3191489,189.0212766
Best Western Fort Lee,187.877551,217.2244898
Best Western Gregory Hotel,217.7352941,253.7352941
Best Western Jamaica Inn,183.2708333,214.1875
Best Western Mill River Manor,232,258.9411765
Best Western Paramus Hotel & Suites,181.0408163,207.4285714
Best Western Plus Brooklyn Bay Hotel,226.4,263.32
Best Western Plus Fairfield Executive Inn,211.1875,242.1875
Best Western Plus Hospitality House,392.6888889,454.5111111
Best Western Plus Newark Airport West,158.2291667,182.1875
Best Western Plus Soho Hotel,340.0816327,393.9183673
Best Western Premier Empire State Hotel,297.9583333,345.5208333
Best Western Premier NYC Gateway Hotel,244.9393939,289.9393939
Best Western Queens Court Hotel,143.6888889,168.6
Best Western Queens Gold Coast,214.21875,249.34375
Best Western The Inn At Ramsey,103.1875,118.5208333
Boutique Hotel in the Heart of Long Island's North Shore,170.6,214.8
Bowery Grand Hotel,93.85714286,111.3571429
Brand New Decorative Studio Apt. in Bloomfield,160,325.25
Broadway Plaza Hotel,282.1176471,338.6862745
"Brooklyn Vybe Hotel, Ascend Hotel Collection",176.4482759,213.4827586
CIVILIAN Hotel,315.4901961,365.5294118
CODA Williamsburg,374.875,491
COZY PRIVATE STUDIO w/  Free Off-Street Parking & Washer/Dryer,125,200
Cabana Hotel Yankee Stadium,197.4827586,230.2413793
Cachet Boutique New York,368.3870968,450.7741935
Cambria Hotel New York - Chelsea,297.2,344.5111111
Cambria Hotel West Orange,208.3888889,239.2222222
Cambria Hotel White Plains - Downtown,271.7142857,310.6428571
Canal Loft Hotel,153.1290323,220.6774194
"Candlewood Suites New York City-Times Square, an IHG Hotel",348.875,423.1666667
"Candlewood Suites Secaucus - Meadowlands, an IHG Hotel",226.4411765,266.3235294
Canopy by Hilton Jersey City Arts District,307.1052632,358.0526316
Carnegie Hotel,416.2916667,538.6041667
Casa Azul Hotel Blu JFK,152.6538462,190.7115385
Casa Blanca Hotel Brooklyn,231,268.6923077
Casa Cipriani New York,391.7142857,365.6122449
Casablanca Hotel by Library Hotel Collection,422.5227273,513.3181818
Castle Hotel & Spa,341.2068966,390.2758621
Charming Apartment in Quiet Neighborhood,98.31578947,158.3684211
Charming Brick Row House close to NYC,138.5714286,193.7142857
Charming and Comfy,153,291.6
Cheerful 3BR residential home with free parking,195,350
Chelsea Hotel Room King Bed,9.38,10.22
