tranportation,city,postcode,housenumber,street,state,address1,address2
Brooklyn Bridge–City Hall,New York,10000,N/A,Centre Street,New York,Brooklyn Bridge–City Hall,"Centre Street, New York, NY 10000, United States of America"
City Hall,New York,10003,N/A,Broadway,New York,City Hall,"Broadway, New York, NY 10003, United States of America"
Park Row & Spruce Street,New York,10007,N/A,Park Row,New York,Park Row & Spruce Street,"Park Row, New York, NY 10007, United States of America"
Park Row & Spruce Street,New York,10000,N/A,Park Row,New York,Park Row & Spruce Street,"Park Row, New York, NY 10000, United States of America"
Chambers Street & Broadway,New York,10000,N/A,Chambers Street,New York,Chambers Street & Broadway,"Chambers Street, New York, NY 10000, United States of America"
Park Row & Beekman Street,New York,10007,N/A,Park Row,New York,Park Row & Beekman Street,"Park Row, New York, NY 10007, United States of America"
Broadway & Murray Street,New York,10003,N/A,Broadway,New York,Broadway & Murray Street,"Broadway, New York, NY 10003, United States of America"
Broadway & Warren Street,New York,10003,N/A,Broadway,New York,Broadway & Warren Street,"Broadway, New York, NY 10003, United States of America"
Park Row & Spruce Street,New York,10000,N/A,Park Row,New York,Park Row & Spruce Street,"Park Row, New York, NY 10000, United States of America"
Broadway/Warren Street,New York,10003,N/A,Broadway,New York,Broadway/Warren Street,"Broadway, New York, NY 10003, United States of America"
Broadway & Park Place,New York,10007,N/A,Park Place,New York,Broadway & Park Place,"Park Place, New York, NY 10007, United States of America"
Broadway & Chambers Street,New York,10003,N/A,Broadway,New York,Broadway & Chambers Street,"Broadway, New York, NY 10003, United States of America"
Chambers Street–World Trade Center–Park Place–Cortlandt Street,New York,10000,N/A,Park Row,New York,Chambers Street–World Trade Center–Park Place–Cortlandt Street,"Park Row, New York, NY 10000, United States of America"
Chambers Street & Broadway,New York,10000,N/A,Chambers Street,New York,Chambers Street & Broadway,"Chambers Street, New York, NY 10000, United States of America"
Broadway & Park Place,New York,10279,N/A,Broadway,New York,Broadway & Park Place,"Broadway, New York, NY 10279, United States of America"
Chambers Street,New York,10000,N/A,Chambers Street,New York,Chambers Street,"New York, NY 10000, United States of America"
Broadway & Barclay Street,New York,10279,N/A,Broadway,New York,Broadway & Barclay Street,"Broadway, New York, NY 10279, United States of America"
Fulton Street,New York,10038,N/A,Dutch Street,New York,Fulton Street,"Dutch Street, New York, NY 10038, United States of America"
Broadway & Barclay Street,New York,10279,N/A,Broadway,New York,Broadway & Barclay Street,"Broadway, New York, NY 10279, United States of America"
Warren Street & Church Street,New York,10007,N/A,Warren Street,New York,Warren Street & Church Street,"Warren Street, New York, NY 10007, United States of America"
Broadway & Reade Street,New York,10003,N/A,Broadway,New York,Broadway & Reade Street,"Broadway, New York, NY 10003, United States of America"
Chambers Street & Church Street,New York,10007,N/A,Chambers Street,New York,Chambers Street & Church Street,"Chambers Street, New York, NY 10007, United States of America"
Church Street & Warren Street,New York,10013,N/A,Church Street,New York,Church Street & Warren Street,"Church Street, New York, NY 10013, United States of America"
Park Place,New York,10007,N/A,Park Place,New York,Park Place,"New York, NY 10007, United States of America"
Chambers Street & Church Street,New York,10007,N/A,Chambers Street,New York,Chambers Street & Church Street,"Chambers Street, New York, NY 10007, United States of America"
Chambers Street,New York,10013,N/A,Church Street,New York,Chambers Street,"Church Street, New York, NY 10013, United States of America"
Broadway & Vesey Street,New York,10279,N/A,Broadway,New York,Broadway & Vesey Street,"Broadway, New York, NY 10279, United States of America"
Church Street & Chambers Street,New York,10013,N/A,Church Street,New York,Church Street & Chambers Street,"Church Street, New York, NY 10013, United States of America"
Murray Street & Church Street,New York,10007,N/A,Murray Street,New York,Murray Street & Church Street,"Murray Street, New York, NY 10007, United States of America"
Broadway & Thomas Street,New York,10003,N/A,Broadway,New York,Broadway & Thomas Street,"Broadway, New York, NY 10003, United States of America"
Fulton Street,New York,10038,N/A,Nassau Street,New York,Fulton Street,"Nassau Street, New York, NY 10038, United States of America"
Fulton Street,New York,10038,N/A,Fulton Street,New York,Fulton Street,"New York, NY 10038, United States of America"
Church Street & Vesey Street,New York,10013,N/A,Church Street,New York,Church Street & Vesey Street,"Church Street, New York, NY 10013, United States of America"
World Trade Center,New York,10013,N/A,Church Street,New York,World Trade Center,"Church Street, New York, NY 10013, United States of America"
Broadway & Thomas Street,New York,10003,N/A,Broadway,New York,Broadway & Thomas Street,"Broadway, New York, NY 10003, United States of America"
Chambers Street & West Broadway,New York,10007,N/A,Chambers Street,New York,Chambers Street & West Broadway,"Chambers Street, New York, NY 10007, United States of America"
