Hotel Name,Advertised Price,Total Price
Americana Motel,The price is $70,$80 total
Cozy 1st Floor / Basement Apartment 15 min from NYC!,The price is $85,$171 total
Rest Inn - Elizabeth,The price is $92,$106 total
Americas Best Value Inn Avenel Woodbridge,The price is $99,$113 total
Swan Motel,The price is $99,$113 total
Luxe Autos Exotic Rentals,The price is $99,$131 total
Nyack Hide Away,The price is $99,$154 total
Nyack Get Away,The price is $99,$160 total
Bowery Grand Hotel,The price is $100,$118 total
Modern Couple’s Retreat,The price is $100,$143 total
Little Cottage w/priv entrance & bath.Close to NYC,The price is $100,$208 total
Rodeway Inn,The price is $101,$113 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Travelodge by Wyndham Avenel Woodbridge,The price is $101,$116 total
Days Inn by Wyndham Wayne,The price is $107,$123 total
Crown Inn Motel,The price is $108,$124 total
Extended Stay America Suites Newark Woodbridge,The price is $109,$125 total
Rodeway Inn Capri,The price is $110,$129 total
Piermont Jewel,The price is $110,$166 total
Kamway Lodge & Travel,The price is $110,$134 total
Quality Inn Wayne - Fairfield Area,The price is $111,$128 total
L 3 Downtown Newark Guesthouse,The price is $112,$149 total
Mamaroneck Motel,The price is $113,$129 total
Coliseum Inn & Suites - Garden City Long Island,The price is $114,$127 total
Days Inn by Wyndham Iselin / Woodbridge,The price is $115,$132 total
Quality Inn Spring Valley - Nanuet,The price is $115,$128 total
Cozzy Get Away Priv. Apt/ St BarnabaS Hosp/NYC/EWR,The price is $115,$148 total
Piermont Cozy Haven,The price is $115,$172 total
Holly Hill Motel,The price is $119,$133 total
"Motel 6 Elmsford, NY - White Plains",The price is $119,$136 total
Motel House,The price is $119,$152 total
"Motel 6 Elizabeth, NJ - Newark Liberty Intl Airport",The price is $119,$142 total
Tappan Zee Hotel,The price is $120,$134 total
Haiban Inn,The price is $120,$140 total
Stylish Luxe Apartment,The price is $120,$186 total
Cozy Exotic Studio Retreat,The price is $120,$189 total
Private room with its own private bathroom,The price is $120,$199 total
Hotel Mint JFK Airport,The price is $120,$142 total
Days Inn by Wyndham Elmsford / White Plains,The price is $123,$144 total
Super 8 by Wyndham Rahway/Newark,The price is $124,$142 total
31 Street Broadway Hotel,The price is $125,$383 total
"Red Carpet Inn Newark Irvington, NJ",The price is $125,$144 total
COZY PRIVATE STUDIO w/  Free Off-Street Parking & Washer/Dryer,The price is $125,$200 total
⭐️ Best Apt To Visit NYC-5 minutes to✈️EWR airport+Free Parking,The price is $125,$350 total
Inn at Jericho,The price is $125,$140 total
Ramada by Wyndham East Orange,The price is $128,$142 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $128,$147 total
Tides Motor Inn at Stehli Beach,The price is $129,$144 total
Rodeway Inn,The price is $129,$148 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $129,$148 total
Horizon Inn,The price is $130,$149 total
NY Moore Hostel,The price is $130,$157 total
Studio 6 min to NYC station,The price is $130,$176 total
Nyack Jewel,The price is $130,$200 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $132,$147 total
Hidden Oasis w/B&B option....,The price is $132,$166 total
Extended Stay America Suites Elizabeth Newark Airport,The price is $133,$156 total
Hudson Plaza Motel Bayonne / Jersey City,The price is $133,$149 total
Wyndham Garden Totowa,The price is $134,$154 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $134,$154 total
Turkey Hill Inn,The price is $135,$155 total
A quiet apartment near to everything with free parking,The price is $135,$195 total
