Hotel Name,Advertised Price,Total Price
Days Inn by Wyndham Wayne,The price is $63,$73 total
Tides Motor Inn at Stehli Beach,The price is $79,$88 total
Days Inn by Wyndham Iselin / Woodbridge,The price is $89,$102 total
Extended Stay America Suites Newark Woodbridge,The price is $95,$109 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $96,$107 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $98,$113 total
31 Street Broadway Hotel,The price is $99,$333 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Super 8 by Wyndham Meadowlands,The price is $109,$128 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $109,$125 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $114,$131 total
Hotel Executive Suites,The price is $116,$133 total
Inn at Jericho,The price is $119,$133 total
Red Roof Inn Fairfield,The price is $120,$138 total
APA Hotel Woodbridge,The price is $125,$143 total
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",The price is $126,$148 total
Super Lake Hotel,The price is $127,$149 total
Ramada by Wyndham East Orange,The price is $127,$142 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $128,$150 total
Howard Johnson by Wyndham North Bergen,The price is $128,$150 total
Knights Inn Brooklyn Sunset Park,The price is $129,$155 total
Horizon Inn,The price is $130,$149 total
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",The price is $131,$150 total
Comfort Inn Paramus,The price is $131,$151 total
TRYP by Wyndham Newark Downtown,The price is $132,$152 total
Extended Stay America Suites Elizabeth Newark Airport,The price is $133,$156 total
SureStay Hotel by Best Western Secaucus Meadowlands,The price is $134,$158 total
Sonesta Simply Suites Nanuet,The price is $135,$150 total
Turkey Hill Inn,The price is $135,$155 total
Super 8 by Wyndham North Bergen NJ/NYC Area,The price is $137,$161 total
Mitchell Executive Hotel,The price is $137,$157 total
Extended Stay America Suites Meadowlands Rutherford,The price is $138,$162 total
Ardsley Acres Hotel Westchester,The price is $139,$159 total
Howard Johnson Hotel by Wyndham Newark Airport,The price is $139,$160 total
Best Western Queens Court Hotel,The price is $140,$164 total
Howard Johnson by Wyndham Clifton NJ,The price is $141,$162 total
Casa Azul Hotel Blu JFK,The price is $141,$177 total
Comfort Suites Newark - Harrison,The price is $144,$165 total
Courtyard by Marriott Newark Liberty International Airport,The price is $144,$166 total
Best Western Plus Newark Airport West,The price is $144,$166 total
Grandview Hotel New York,The price is $145,$170 total
Super 8 by Wyndham Long Island City LGA Hotel,The price is $146,$171 total
Extended Stay America Suites White Plains Elmsford,The price is $147,$168 total
The Central Park North,The price is $149,$174 total
Asiatic Hotel by LaGuardia Airport,The price is $149,$174 total
Comfort Inn & Suites,The price is $149,$171 total
Best Western Brooklyn-Coney Island Inn,The price is $149,$175 total
Essence Express Wayne,The price is $149,$171 total
Ramada by Wyndham Rockville Centre,The price is $150,$168 total
Fairfield Inn & Suites Newark Liberty International Airport,The price is $152,$175 total
Fairfield Inn by Marriott East Rutherford Meadowlands,The price is $152,$179 total
Rodeway Inn Capri,The price is $152,$179 total
Hampton Inn & Suites Newark Airport Elizabeth,The price is $152,$179 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $153,$180 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $153,$176 total
Travelodge by Wyndham Manhasset,The price is $156,$174 total
"Holiday Inn Express Newark Airport Elizabeth, an IHG Hotel",The price is $157,$180 total
Union Hotel,The price is $157,$186 total
Quality Inn JFK Airport Rockaway Blvd,The price is $159,$189 total
Meadowlands Plaza Hotel,The price is $159,$187 total
Baymont by Wyndham White Plains - Elmsford,The price is $159,$182 total
The One Boutique Hotel,The price is $159,$186 total
Airway Inn at LaGuardia,The price is $159,$186 total
Hotel 369 Brooklyn,The price is $159,$186 total
Americana Inn,The price is $160,$202 total
Marriott Saddle Brook,The price is $161,$185 total
Fairfield Inn & Suites by Marriott Paramus,The price is $161,$185 total
Extended Stay America Suites Meadowlands East Rutherford,The price is $161,$190 total
Days Inn by Wyndham Ridgefield NJ,The price is $162,$190 total
SpringHill Suites by Marriott Newark Liberty International,The price is $163,$187 total
Quality Suites NYC Gateway,The price is $166,$195 total
Wheeler Hotel,The price is $167,$195 total
Ravel Hotel Trademark Collection by Wyndham,The price is $167,$195 total
The Leo House,The price is $167,$197 total
Best Western Queens Gold Coast,The price is $167,$196 total
The Brooklyn,The price is $168,$219 total
The Park Ave North,The price is $169,$197 total
John Hotel,The price is $169,$209 total
Residence Inn by Marriott East Rutherford Meadowlands,The price is $169,$199 total
Paris Suites Hotel,The price is $169,$197 total
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",The price is $170,$195 total
Ramada by Wyndham Jersey City,The price is $170,$198 total
Hampton Inn & Suites Teaneck Glenpointe,The price is $170,$195 total
Hyatt Place Fair Lawn Paramus,The price is $172,$197 total
Hilton Newark Airport,The price is $172,$197 total
Hampton Inn Nanuet,The price is $174,$194 total
SpringHill Suites by Marriott Tarrytown Westchester County,The price is $175,$200 total
Best Western Gregory Hotel,The price is $175,$205 total
Wyndham Garden North Bergen Near Secaucus,The price is $176,$207 total
La Quinta Inn & Suites by Wyndham Secaucus Meadowlands,The price is $177,$209 total
Best Western Jamaica Inn,The price is $178,$208 total
Clinton Inn Hotel & Event Center,The price is $179,$205 total
Sleepy Hollow Hotel,The price is $179,$205 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Courtyard by Marriott Yonkers Westchester County,The price is $179,$206 total
Westminster Hotel,The price is $179,$205 total
Sky Hotel Flushing/LaGuardia Airport,The price is $179,$217 total
Fairfield Inn & Suites New York Queens/Fresh Meadows,The price is $180,$210 total
Extended Stay America Suites Secaucus Meadowlands,The price is $180,$212 total
Hampton Inn Newark Airport,The price is $181,$208 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $183,$209 total
Red Lion Inn & Suites Long Island City,The price is $183,$214 total
Comfort Inn JFK Airport,The price is $184,$215 total
Red Carpet Inn Elmwood Park,The price is $185,$212 total
Best Western Mill River Manor,The price is $185,$207 total
The Parc Hotel,The price is $186,$217 total
Feather Factory,The price is $188,$219 total
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,The price is $188,$220 total
YMCA West Side,The price is $189,$189 total
Adria Hotel And Conference Center,The price is $189,$220 total
Elmhurst Hotel,The price is $189,$220 total
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,The price is $189,$217 total
"Viana Hotel and Spa, Trademark Collection by Wyndham",The price is $190,$212 total
The Floral Park Motor Lodge,The price is $190,$216 total
Royal Regency Hotel,The price is $194,$232 total
"The Westfield Inn, BW Signature Collection",The price is $195,$217 total
Extended Stay America Suites New York City LaGuardia Airport,The price is $195,$227 total
The Grand Summit Hotel,The price is $195,$224 total
Fairfield Inn & Suites by Marriott North Bergen,The price is $197,$232 total
The Kenilworth,The price is $197,$226 total
Sheraton Tarrytown Hotel,The price is $197,$225 total
DoubleTree by Hilton Hotel Newark Airport,The price is $198,$228 total
La Quinta Inn & Suites by Wyndham Garden City,The price is $199,$222 total
Corona Hotel,The price is $199,$231 total
Courtyard by Marriott West Orange,The price is $199,$228 total
"The L Hotel, Ascend Hotel Collection",The price is $199,$231 total
Hilton Short Hills,The price is $199,$228 total
The Wilshire Grand Hotel,The price is $199,$228 total
Teaneck Marriott at Glenpointe,The price is $199,$228 total
Extended Stay America Suites Secaucus New York City Area,The price is $199,$235 total
Hilton Meadowlands,The price is $200,$235 total
Chelsea Mews Guest House All Male,The price is $200,$233 total
Days Hotel by Wyndham North Bergen /NYC Area,The price is $200,$235 total
Hilton Garden Inn Ridgefield Park,The price is $203,$233 total
