Hotel Name,Advertised Price,Total Price
Days Inn by Wyndham Wayne,The price is $77,$88 total
Days Inn by Wyndham Iselin / Woodbridge,The price is $77,$89 total
Tides Motor Inn at Stehli Beach,The price is $79,$88 total
Rodeway Inn Capri,The price is $85,$100 total
Bowery Grand Hotel,The price is $89,$106 total
Ramada by Wyndham East Orange,The price is $93,$104 total
Super 8 by Wyndham Meadowlands,The price is $95,$112 total
Hotel Executive Suites,The price is $98,$112 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $99,$110 total
The Central Park North,The price is $99,$117 total
Howard Johnson Hotel by Wyndham Newark Airport,The price is $99,$114 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $100,$114 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Days Hotel by Wyndham North Bergen /NYC Area,The price is $101,$119 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $105,$121 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $109,$125 total
Travelodge by Wyndham Manhasset,The price is $110,$123 total
Horizon Inn,The price is $110,$126 total
Grandview Hotel New York,The price is $110,$130 total
Howard Johnson by Wyndham North Bergen,The price is $111,$130 total
The Park Ave North,The price is $115,$135 total
Super 8 by Wyndham Long Island City LGA Hotel,The price is $116,$137 total
Best Western Queens Court Hotel,The price is $119,$140 total
Feather Factory,The price is $119,$140 total
Knights Inn Brooklyn Sunset Park,The price is $119,$144 total
Chelsea Inn,The price is $122,$212 total
Best Western Brooklyn-Coney Island Inn,The price is $122,$144 total
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,The price is $123,$140 total
Extended Stay America Suites Newark Woodbridge,The price is $123,$142 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $125,$147 total
Paris Suites Hotel,The price is $125,$147 total
The Floral Park Motor Lodge,The price is $126,$144 total
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",The price is $126,$148 total
Comfort Inn Paramus,The price is $127,$145 total
Days Inn by Wyndham Ridgefield NJ,The price is $128,$150 total
Ramada by Wyndham Staten Island,The price is $128,$150 total
Quality Suites NYC Gateway,The price is $128,$150 total
Howard Johnson by Wyndham Clifton NJ,The price is $128,$147 total
Red Roof Inn Fairfield,The price is $130,$149 total
Best Western Plus Newark Airport West,The price is $133,$153 total
Extended Stay America Suites Meadowlands Rutherford,The price is $133,$156 total
Extended Stay America Suites Elizabeth Newark Airport,The price is $133,$156 total
Fairfield Inn by Marriott East Rutherford Meadowlands,The price is $134,$158 total
Hampton Inn & Suites Newark Airport Elizabeth,The price is $135,$159 total
Wyndham Garden North Bergen Near Secaucus,The price is $135,$159 total
Best Western Jamaica Inn,The price is $136,$160 total
Mitchell Executive Hotel,The price is $137,$157 total
TRYP by Wyndham Newark Downtown,The price is $138,$159 total
Meadowlands Plaza Hotel,The price is $139,$163 total
Opera House Hotel,The price is $139,$180 total
Ardsley Acres Hotel Westchester,The price is $139,$159 total
