Hotel Name,Advertised Price,Total Price
Days Inn by Wyndham Iselin / Woodbridge,The price is $70,$80 total
Cozy 1st Floor / Basement Apartment 15 min from NYC!,The price is $85,$171 total
Days Inn by Wyndham Wayne,The price is $86,$98 total
Quality Inn Wayne - Fairfield Area,The price is $92,$106 total
Phoenix Hotel,The price is $94,$111 total
Extended Stay America Suites Newark Woodbridge,The price is $95,$109 total
Super 8 by Wyndham Meadowlands,The price is $95,$112 total
Mamaroneck Motel,The price is $96,$110 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $98,$113 total
Americas Best Value Inn Avenel Woodbridge,The price is $99,$113 total
"Motel 6 Elizabeth, NJ - Newark Liberty Intl Airport",The price is $99,$118 total
Extended Stay America Suites Meadowlands East Rutherford,The price is $100,$117 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Rodeway Inn,The price is $101,$113 total
Travelodge by Wyndham South Hackensack,The price is $102,$120 total
Bowery Grand Hotel,The price is $103,$122 total
"Red Carpet Inn Newark Irvington, NJ",The price is $103,$119 total
Quality Inn Spring Valley - Nanuet,The price is $107,$119 total
Super 8 by Wyndham Rahway/Newark,The price is $109,$125 total
Rodeway Inn Capri,The price is $110,$129 total
L 3 Downtown Newark Guesthouse,The price is $112,$149 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $114,$131 total
Crown Inn Motel,The price is $114,$131 total
Hotel Executive Suites,The price is $116,$133 total
APA Hotel Woodbridge,The price is $118,$135 total
31 Street Broadway Hotel,The price is $119,$371 total
Inn at Jericho,The price is $119,$133 total
Horizon Inn,The price is $120,$138 total
Tappan Zee Hotel,The price is $120,$134 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $120,$134 total
Hotel Mint JFK Airport,The price is $120,$142 total
Coliseum Inn & Suites - Garden City Long Island,The price is $125,$140 total
Super Lake Hotel,The price is $127,$149 total
Ramada by Wyndham East Orange,The price is $127,$142 total
Tides Motor Inn at Stehli Beach,The price is $129,$144 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $129,$148 total
Turkey Hill Inn,The price is $135,$155 total
Super 8 by Wyndham Long Island City LGA Hotel,The price is $136,$160 total
"Robert Treat Hotel, BW Premier Collection",The price is $136,$157 total
Mitchell Executive Hotel,The price is $137,$157 total
Comfort Inn Paramus,The price is $138,$158 total
Extended Stay America Suites Elizabeth Newark Airport,The price is $138,$161 total
Voyage Hotel,The price is $138,$162 total
Ardsley Acres Hotel Westchester,The price is $139,$159 total
Rodeway Inn Jersey City near Hoboken,The price is $140,$163 total
The Wayne Inn,The price is $141,$161 total
Comfort Suites at Woodbridge,The price is $142,$163 total
Rodeway Inn Meadowlands,The price is $143,$168 total
Clinton Inn Hotel & Event Center,The price is $143,$164 total
Essence Express Wayne,The price is $144,$165 total
Super 8 by Wyndham Nyack NY,The price is $144,$165 total
Hampton Inn Ridgefield Park,The price is $145,$166 total
The One Boutique Hotel,The price is $146,$171 total
Travelodge by Wyndham Jersey City,The price is $149,$174 total
Grandview Hotel New York,The price is $149,$175 total
Red Roof Inn Fairfield,The price is $150,$172 total
Best Western Queens Court Hotel,The price is $150,$176 total
Latisha house,The price is $150,$176 total
Latisha luxury place ,The price is $150,$276 total
Hampton Inn Linden,The price is $151,$173 total
Fairfield Inn & Suites Newark Liberty International Airport,The price is $152,$175 total
Casa Azul Hotel Blu JFK,The price is $152,$190 total
This location will make ur EYES Light UP,The price is $152,$260 total
Umbrella Hotel Brooklyn,The price is $152,$178 total
Hampton Inn & Suites Newark Airport Elizabeth,The price is $152,$179 total
TRYP by Wyndham Newark Downtown,The price is $154,$178 total
Extended Stay America Suites Meadowlands Rutherford,The price is $157,$184 total
Best Western Plus Newark Airport West,The price is $157,$181 total
Union Hotel,The price is $157,$186 total
Quality Inn JFK Airport Rockaway Blvd,The price is $158,$189 total
Best Western Brooklyn-Coney Island Inn,The price is $158,$185 total
Howard Johnson Hotel by Wyndham Newark Airport,The price is $159,$183 total
Howard Johnson by Wyndham Clifton NJ,The price is $159,$182 total
Airway Inn at LaGuardia,The price is $159,$186 total
Hotel 369 Brooklyn,The price is $159,$186 total
Days Hotel by Wyndham North Bergen /NYC Area,The price is $160,$188 total
Days Inn by Wyndham Jersey City / NYC Area,The price is $160,$187 total
"Holiday Inn Express Brooklyn - Bushwick, an IHG Hotel",The price is $161,$207 total
Ramada by Wyndham Rockville Centre,The price is $161,$179 total
Days Inn by Wyndham Brooklyn Marine Park,The price is $161,$192 total
"Holiday Inn Express Newark Airport Elizabeth, an IHG Hotel",The price is $161,$185 total
Fairfield Inn & Suites by Marriott Woodbridge,The price is $161,$185 total
Quality Inn near Sunset Park,The price is $161,$188 total
Quality Suites NYC Gateway,The price is $161,$190 total
"Brooklyn Vybe Hotel, Ascend Hotel Collection",The price is $161,$196 total
Days Inn by Wyndham Ridgefield NJ,The price is $162,$190 total
Wheeler Hotel,The price is $162,$189 total
SpringHill Suites by Marriott Newark Liberty International,The price is $163,$187 total
Steinway Hotel,The price is $163,$190 total
Super 8 by Wyndham North Bergen NJ/NYC Area,The price is $165,$194 total
"Holiday Inn Express Woodbridge, an IHG Hotel",The price is $166,$190 total
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,The price is $166,$195 total
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",The price is $166,$195 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $166,$191 total
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel",The price is $167,$191 total
Hilton Hasbrouck Heights/Meadowlands,The price is $167,$191 total
7 Days Hotel Bronx,The price is $167,$195 total
"Holiday Inn Newark International Airport, an IHG Hotel",The price is $168,$194 total
The Central Park North,The price is $169,$197 total
Asiatic Hotel by LaGuardia Airport,The price is $169,$197 total
Travelodge by Wyndham Manhasset,The price is $169,$189 total
Residence Inn by Marriott East Rutherford Meadowlands,The price is $169,$199 total
Wyndham Garden Totowa,The price is $169,$194 total
"Home2 Suites by Hilton Rahway, NJ",The price is $169,$194 total
Home2 Suites by Hilton Newark Airport,The price is $169,$195 total
"Home2 Suites by Hilton Wayne, NJ",The price is $169,$194 total
SureStay Hotel by Best Western Secaucus Meadowlands,The price is $169,$199 total
Marriott Saddle Brook,The price is $170,$195 total
Ramada by Wyndham Jersey City,The price is $170,$198 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $171,$199 total
Hilton Garden Inn New York / Staten Island,The price is $171,$200 total
"Crowne Plaza Englewood, an IHG Hotel",The price is $173,$198 total
Courtyard by Marriott Newark Liberty International Airport,The price is $174,$200 total
Hotel 365 Bronx,The price is $174,$204 total
Best Western Gregory Hotel,The price is $175,$205 total
Wyndham Garden North Bergen Near Secaucus,The price is $176,$207 total
Courtyard by Marriott Paramus,The price is $176,$202 total
Hampton Inn Carlstadt-At The Meadowlands,The price is $177,$208 total
La Quinta Inn & Suites by Wyndham Secaucus Meadowlands,The price is $177,$209 total
Hampton Inn & Suites Staten Island,The price is $178,$207 total
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",The price is $178,$204 total
Hampton Inn & Suites Teaneck Glenpointe,The price is $179,$205 total
John Hotel,The price is $179,$221 total
Best Western Paramus Hotel & Suites,The price is $179,$205 total
Sky Hotel Flushing/LaGuardia Airport,The price is $179,$217 total
Fairfield Inn & Suites by Marriott Paramus,The price is $179,$205 total
"Holiday Inn Express & Suites Woodside Queens NYC, an IHG Hotel",The price is $180,$212 total
Royal Hotel Bronx,The price is $180,$210 total
Extended Stay America Suites White Plains Elmsford,The price is $180,$206 total
Hyatt Place Fair Lawn Paramus,The price is $181,$208 total
King Hotel Brooklyn Sunset Park,The price is $182,$216 total
Meadowlands Plaza Hotel,The price is $184,$216 total
"Holiday Inn Clark - Newark Area, an IHG Hotel",The price is $184,$211 total
Comfort Suites Newark - Harrison,The price is $185,$212 total
Red Carpet Inn Elmwood Park,The price is $185,$212 total
Residence Inn Woodbridge Edison/Raritan Center,The price is $185,$212 total
Extended Stay America Suites Secaucus Meadowlands,The price is $185,$218 total
Courtyard by Marriott Newark Elizabeth,The price is $186,$218 total
Hotel Pergola JFK Airport,The price is $186,$217 total
Homewood Suites by Hilton Edison Woodbridge,The price is $186,$213 total
The Brooklyn,The price is $186,$239 total
The Vue Hotel Express,The price is $187,$231 total
DoubleTree by Hilton Fairfield Hotel & Suites,The price is $188,$215 total
Westminster Hotel,The price is $188,$216 total
Sonesta Simply Suites Nanuet,The price is $188,$209 total
Homewood Suites by Hilton Teaneck Glenpointe,The price is $189,$216 total
The Park Ave North,The price is $189,$220 total
Paris Suites Hotel,The price is $189,$220 total
Elmhurst Hotel,The price is $189,$220 total
Flushing Central Hotel,The price is $189,$220 total
Days Inn by Wyndham Elmsford / White Plains,The price is $189,$220 total
Boutique Hotel in the Heart of Long Island's North Shore,The price is $189,$238 total
Courtyard by Marriott Lyndhurst Meadowlands,The price is $189,$222 total
The Floral Park Motor Lodge,The price is $190,$216 total
DoubleTree by Hilton Hotel Newark Airport,The price is $191,$220 total
DoubleTree by Hilton Newark Penn Station,The price is $192,$221 total
Hampton Inn Woodbridge,The price is $192,$220 total
Cambria Hotel West Orange,The price is $193,$221 total
YMCA West Side,The price is $194,$194 total
Hyatt Place Fort Lee / George Washington Bridge,The price is $194,$222 total
"The Westfield Inn, BW Signature Collection",The price is $195,$217 total
"Crowne Plaza Saddle Brook, an IHG Hotel",The price is $195,$223 total
Hilton Garden Inn Springfield,The price is $195,$227 total
The Grand Summit Hotel,The price is $195,$224 total
The Vue Inn Brooklyn,The price is $195,$227 total
Embassy Suites Newark Airport,The price is $195,$224 total
Hilton Garden Inn Ridgefield Park,The price is $195,$224 total
Best Western Jamaica Inn,The price is $195,$228 total
Best Western Plus Brooklyn Bay Hotel,The price is $195,$228 total
Homewood Suites by Hilton Edgewater,The price is $196,$224 total
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,The price is $197,$231 total
Residence Inn by Marriott Saddle River,The price is $197,$226 total
The Kenilworth,The price is $197,$226 total
"The L Hotel, Ascend Hotel Collection",The price is $197,$230 total
Canal Loft Hotel,The price is $198,$280 total
Feather Factory,The price is $198,$231 total
The Wilshire Grand Hotel,The price is $199,$228 total
Knights Inn Brooklyn Sunset Park,The price is $199,$236 total
Cabana Hotel Yankee Stadium,The price is $199,$232 total
Chelsea Mews Guest House All Male,The price is $200,$233 total
Courtyard by Marriott Secaucus Meadowlands,The price is $201,$236 total
Comfort Inn & Suites LaGuardia Airport,The price is $202,$235 total
Hilton Meadowlands,The price is $202,$237 total
Hampton Inn Newark Airport,The price is $202,$233 total
Comfort Inn Brooklyn,The price is $203,$236 total
Wyndham Garden LaGuardia South,The price is $203,$237 total
Hilton Woodcliff Lake,The price is $203,$233 total
Hilton Garden Inn Wayne,The price is $205,$235 total
Courtyard by Marriott Wayne Fairfield,The price is $206,$236 total
Best Western Fort Lee,The price is $206,$239 total
"Holiday Inn Express Jamaica - JFK AirTrain - NYC, an IHG Hotel",The price is $208,$244 total
Five Towns Inn - JFK Airport,The price is $209,$233 total
Hotel Key LaGuardia Airport,The price is $209,$243 total
Delta Hotels by Marriott Woodbridge,The price is $209,$240 total
Casa Blanca Hotel Brooklyn,The price is $209,$244 total
DoubleTree by Hilton Fort Lee - George Washington Bridge,The price is $211,$241 total
Howard Johnson by Wyndham North Bergen,The price is $212,$250 total
Hampton Inn & Suites Newark-Harrison-Riverwalk,The price is $213,$244 total
Extended Stay America Suites Secaucus New York City Area,The price is $214,$251 total
Extended Stay America Suites New York City LaGuardia Airport,The price is $214,$249 total
Ramada by Wyndham Bronx,The price is $214,$249 total
Long Island Marriott,The price is $215,$240 total
The Jane Hotel,The price is $216,$251 total
Fairfield Inn & Suites New York Queens/Fresh Meadows,The price is $218,$254 total
Aloft Secaucus Meadowlands,The price is $218,$256 total
Best Western Queens Gold Coast,The price is $218,$254 total
SpringHill Suites by Marriott East Rutherford Meadowlands/Carlstadt,The price is $219,$258 total
"Watt Hotel Rahway, Tapestry Collection by Hilton",The price is $219,$251 total
Comfort Inn JFK Airport,The price is $220,$256 total
Renaissance Newark Airport Hotel,The price is $220,$252 total
"avid Hotels Brooklyn Dyker Heights, an IHG Hotel",The price is $220,$258 total
"Holiday Inn Express Maspeth, an IHG Hotel",The price is $222,$260 total
The Andrew Hotel,The price is $224,$250 total
Hyatt Place Secaucus/Meadowlands,The price is $224,$264 total
Harmony Suites,The price is $224,$264 total
Fairfield Inn & Suites by Marriott North Bergen,The price is $224,$264 total
Courtyard by Marriott Newark Downtown,The price is $224,$258 total
Rockaway Hotel Brooklyn,The price is $225,$262 total
Residence Inn By Marriott West Orange,The price is $227,$260 total
Sheridan Hotel,The price is $227,$264 total
"Insignia Hotel, Ascend Hotel Collection",The price is $229,$266 total
Adria Hotel And Conference Center,The price is $229,$266 total
Comfort Inn Edgewater on Hudson River,The price is $229,$262 total
Renaissance Meadowlands Hotel,The price is $229,$269 total
Fairfield Inn by Marriott LaGuardia Airport/Flushing,The price is $229,$266 total
Residence Inn by Marriott New York JFK Airport,The price is $229,$266 total
Residence Inn by Marriott Wayne,The price is $229,$262 total
Hyatt Place New York/Yonkers,The price is $229,$263 total
Residence Inn Secaucus Meadowlands,The price is $229,$269 total
Hampton Inn Paramus,The price is $229,$263 total
Hilton Newark Airport,The price is $229,$263 total
Hilton Garden Inn Westbury,The price is $230,$256 total
The Baltic Hotel,The price is $233,$282 total
Hilton Garden Inn Secaucus/Meadowlands,The price is $233,$274 total
Homewood Suites by Hilton Newark-Cranford,The price is $235,$269 total
Sleepy Hollow Hotel,The price is $235,$269 total
Courtyard by Marriott West Orange,The price is $237,$271 total
The Parc Hotel,The price is $237,$276 total
Hampton Inn & Suites Yonkers,The price is $237,$273 total
Comfort Inn & Suites near Stadium,The price is $238,$276 total
Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,The price is $239,$278 total
Courtyard by Marriott Montvale,The price is $239,$274 total
Red Lion Inn & Suites Long Island City,The price is $239,$278 total
Homewood Suites by Hilton East Rutherford - Meadowlands,The price is $240,$282 total
Americana Inn,The price is $240,$294 total
Best Western Premier NYC Gateway Hotel,The price is $241,$285 total
"Candlewood Suites Secaucus - Meadowlands, an IHG Hotel",The price is $242,$285 total
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",The price is $242,$283 total
Corona Hotel,The price is $246,$286 total
Wyndham Garden Brooklyn Sunset Park,The price is $247,$297 total
SpringHill Suites by Marriott New York JFK Airport/Jamaica,The price is $247,$287 total
The Holland Hotel,The price is $249,$290 total
Peachtree Suites,The price is $249,$290 total
Mam Homes ,The price is $250,$392 total
Courtyard by Marriott Yonkers Westchester County,The price is $251,$288 total
Element Harrison - Newark,The price is $251,$288 total
Chelsea Inn,The price is $254,$363 total
Eurostars Wall Street,The price is $255,$296 total
Element Spring Valley,The price is $256,$285 total
Home2 Suites by Hilton Hasbrouck Heights,The price is $258,$296 total
Jazz On The Park Hostel,The price is $259,$301 total
Ramada by Wyndham Flushing Queens,The price is $259,$301 total
Marco LaGuardia Hotel,The price is $259,$301 total
Royal Regency Hotel,The price is $260,$309 total
Best Western Mill River Manor,The price is $260,$290 total
Element New York Wood Ridge,The price is $260,$298 total
Residence Inn by Marriott Yonkers Westchester County,The price is $260,$299 total
Hampton Inn Garden City Long Island,The price is $263,$293 total
"Holiday Inn Express & Suites Jersey City North - Hoboken, an IHG Hotel",The price is $263,$307 total
Courtyard by Marriott New York Queens/Fresh Meadows,The price is $265,$308 total
Newark Liberty International Airport Marriott,The price is $265,$305 total
"Holiday Inn Express Roslyn - Manhasset Area, an IHG Hotel",The price is $265,$299 total
Hampton Inn & Suites Yonkers - Westchester,The price is $266,$305 total
