Hotel Name,Advertised Price,Total Price
Days Inn by Wyndham Wayne,The price is $80,$92 total
Cozy 1st Floor / Basement Apartment 15 min from NYC!,The price is $85,$171 total
Quality Inn Wayne - Fairfield Area,The price is $93,$107 total
Days Inn by Wyndham Iselin / Woodbridge,The price is $95,$109 total
Mamaroneck Motel,The price is $96,$110 total
Americas Best Value Inn Avenel Woodbridge,The price is $99,$113 total
La Quinta Inn & Suites by Wyndham Fairfield NJ,The price is $101,$116 total
Best Western The Inn At Ramsey,The price is $101,$116 total
Rodeway Inn,The price is $101,$113 total
Travelodge by Wyndham South Hackensack,The price is $102,$120 total
Quality Inn Spring Valley - Nanuet,The price is $102,$114 total
"Red Carpet Inn Newark Irvington, NJ",The price is $103,$119 total
Charming Apartment in Quiet Neighborhood,The price is $104,$165 total
Cozzy Get Away Priv. Apt/ St BarnabaS Hosp/NYC/EWR,The price is $106,$138 total
Crown Inn Motel,The price is $108,$124 total
Extended Stay America Suites Newark Woodbridge,The price is $109,$125 total
Rodeway Inn Capri,The price is $110,$129 total
Days Inn by Wyndham Nanuet / Spring Valley,The price is $110,$123 total
L 3 Downtown Newark Guesthouse,The price is $112,$149 total
American Dream 10 mins! 1BDR,The price is $112,$254 total
Coliseum Inn & Suites - Garden City Long Island,The price is $115,$129 total
Hotel Executive Suites,The price is $116,$133 total
Inn at Jericho,The price is $119,$133 total
"Motel 6 Elmsford, NY - White Plains",The price is $119,$136 total
Holly Hill Motel,The price is $119,$133 total
Days Inn by Wyndham Elmsford / White Plains,The price is $119,$140 total
"Motel 6 Elizabeth, NJ - Newark Liberty Intl Airport",The price is $119,$142 total
Tappan Zee Hotel,The price is $120,$134 total
Hotel Mint JFK Airport,The price is $120,$142 total
Extended Stay America Suites Ramsey Upper Saddle River,The price is $123,$142 total
Super 8 by Wyndham Rahway/Newark,The price is $124,$142 total
31 Street Broadway Hotel,The price is $125,$383 total
Ramada by Wyndham East Orange,The price is $127,$142 total
Rodeway Inn Jersey City near Hoboken,The price is $127,$149 total
Tides Motor Inn at Stehli Beach,The price is $129,$144 total
Rodeway Inn,The price is $129,$148 total
Ramada by Wyndham Rochelle Park Near Paramus,The price is $129,$148 total
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,The price is $129,$148 total
Horizon Inn,The price is $130,$149 total
Studio 6 min to NYC station,The price is $130,$176 total
Super 8 by Wyndham North Bergen NJ/NYC Area,The price is $132,$155 total
Super 8 by Wyndham Meadowlands,The price is $133,$157 total
Hudson Plaza Motel Bayonne / Jersey City,The price is $133,$149 total
Hampton Inn Linden,The price is $134,$154 total
Turkey Hill Inn,The price is $135,$155 total
Comfort Inn Paramus,The price is $135,$155 total
APA Hotel Woodbridge,The price is $135,$155 total
Super 8 by Wyndham Nyack NY,The price is $136,$156 total
