Hotel Name,Distance from NYC
31 Street Broadway Hotel,New York
Americana Motel,17.44 mi from New York
Days Inn by Wyndham Wayne,21.44 mi from New York
Quality Inn Wayne - Fairfield Area,17.75 mi from New York
Americas Best Value Inn Avenel Woodbridge,17.36 mi from New York
Luxe Autos Exotic Rentals,9.32 mi from New York
⭐️ Best Studio/RV To Visit NYC✈️EWR Airport-Free Parking,11.42 mi from New York
Travelodge by Wyndham Avenel Woodbridge,17.38 mi from New York
Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,14.45 mi from New York
Kamway Lodge & Travel,6.55 mi from New York
Rodeway Inn,16.25 mi from New York
Tides Motor Inn at Stehli Beach,25.9 mi from New York
Rodeway Inn Capri,9.9 mi from New York
Private room with its own private bathroom,16.63 mi from New York
L 3 Downtown Newark Guesthouse,10.19 mi from New York
American Dream 10 mins! 1BDR,10.97 mi from New York
Mamaroneck Motel,20.9 mi from New York
Crown Inn Motel,13.93 mi from New York
Days Inn by Wyndham Iselin / Woodbridge,18.36 mi from New York
Piermont Cozy Haven,23.66 mi from New York
Extended Stay America Suites Ramsey Upper Saddle River,23.68 mi from New York
Holly Hill Motel,20.34 mi from New York
Motel House,10.13 mi from New York
"Motel 6 Elizabeth, NJ - Newark Liberty Intl Airport",10.2 mi from New York
Coliseum Inn & Suites - Garden City Long Island,22.61 mi from New York
Tappan Zee Hotel,26.68 mi from New York
Horizon Inn,17.04 mi from New York
Inn at Jericho,23.77 mi from New York
NY Moore Hostel,3.64 mi from New York
"Red Carpet Inn Newark Irvington, NJ",11.83 mi from New York
⭐️ Best Apt To Visit NYC-5 minutes to✈️EWR airport+Free Parking,11.42 mi from New York
Wyndham Garden Totowa,16.68 mi from New York
Quality Inn Spring Valley - Nanuet,27.08 mi from New York
Hampton Inn & Suites Newark Airport Elizabeth,9.6 mi from New York
Super 8 by Wyndham Nyack NY,26.61 mi from New York
Ramada by Wyndham East Orange,11.81 mi from New York
Days Inn by Wyndham Nanuet / Spring Valley,26.9 mi from New York
La Quinta Inn & Suites by Wyndham Fairfield NJ,18.72 mi from New York
Modern & cozy 1-bed attic apt close to NYC,5.7 mi from New York
Rodeway Inn,9.53 mi from New York
Ramada by Wyndham Rochelle Park Near Paramus,14.81 mi from New York
Red Roof Inn Fairfield,19.05 mi from New York
Rest Inn - Elizabeth,11.63 mi from New York
Relax and rejuvenate in this Hideaway Apartment close to public transportation .,20.7 mi from New York
LUXE | Private & Modern | Close to City,18.29 mi from New York
Hudson Plaza Motel Bayonne / Jersey City,5.36 mi from New York
Modern Cozy Apartment - Near American Dream Theme Park & NYC,10.4 mi from New York
Hotel Executive Suites,14.85 mi from New York
"Motel 6 Elmsford, NY - White Plains",25.6 mi from New York
Turkey Hill Inn,18.42 mi from New York
Studio at North Bergen close to NYC and mass transportation,6.18 mi from New York
Renovated 1 bedroom apartment 30 min train ride from manhattan,16.86 mi from New York
Comfort Suites Newark - Harrison,8.9 mi from New York
Comfort Inn Paramus,14.97 mi from New York
Best Western The Inn At Ramsey,25.8 mi from New York
Travelodge by Wyndham South Hackensack,10.33 mi from New York
Extended Stay America Suites Meadowlands East Rutherford,7.38 mi from New York
Rodeway Inn Meadowlands,6.17 mi from New York
Sonesta Simply Suites Nanuet,27.32 mi from New York
WoodSpring Suites Linden,12.63 mi from New York
"Robert Treat Hotel, BW Premier Collection",8.72 mi from New York
Perfect near NYC,7.58 mi from New York
This stylish place to stay is perfect for group trips to NYC!,11.05 mi from New York
Red Roof Inn PLUS+ Secaucus - Meadowlands - NYC,6.68 mi from New York
The Wayne Inn,18.64 mi from New York
Days Inn by Wyndham Elmsford / White Plains,25.47 mi from New York
Extended Stay America Suites Elizabeth Newark Airport,9.54 mi from New York
Hotel Mint JFK Airport,15.18 mi from New York
Umbrella Hotel Brooklyn,5.65 mi from New York
Super Lake Hotel,9.67 mi from New York
Days Inn by Wyndham Ridgefield NJ,9.09 mi from New York
Hampton Inn Woodbridge,19.47 mi from New York
Super 8 by Wyndham Meadowlands,7.96 mi from New York
Hampton Inn Ridgefield Park,9.11 mi from New York
Extended Stay America Suites Meadowlands Rutherford,8.15 mi from New York
The Central Park North,New York
Howard Johnson by Wyndham Clifton NJ,11.33 mi from New York
Travelodge by Wyndham Jersey City,4 mi from New York
Voyage Hotel,4.69 mi from New York
Luxury Studio Suite- 5mins to EWR-close to NYC,11 mi from New York
Essence Express Wayne,17.89 mi from New York
Super 8 by Wyndham Rahway/Newark,15.78 mi from New York
Haiban Inn,3.45 mi from New York
Latisha house,6.95 mi from New York
Latisha luxury place ,6.71 mi from New York
This location will make ur EYES Light UP,9.82 mi from New York
Hampton Inn Linden,14.09 mi from New York
"Holiday Inn Clark - Newark Area, an IHG Hotel",16.61 mi from New York
Comfort Suites at Woodbridge,16.35 mi from New York
Hampton Inn Newark Airport,9.56 mi from New York
DoubleTree by Hilton Fairfield Hotel & Suites,18.49 mi from New York
Howard Johnson Hotel by Wyndham Newark Airport,7.92 mi from New York
Quality Inn near Sunset Park,4.29 mi from New York
Charming and Comfy,8.37 mi from New York
"Comfy with Free Parking, 2 beds Near Airport, Park/Hospital!",11.3 mi from New York
Action Lodge 3Bedroom and 2Bathroom,10.37 mi from New York
The Westfield Inn | An elegant boutique hotel at New Jersey,18.5 mi from New York
Quiet comfortable homelike apt 10 minutes from the airport.,10.51 mi from New York
APA Hotel Woodbridge,19.81 mi from New York
DoubleTree by Hilton Fort Lee - George Washington Bridge,10.32 mi from New York
Days Inn by Wyndham Jersey City / NYC Area,3.92 mi from New York
"Holiday Inn Hasbrouck Heights-Meadowlands, an IHG Hotel",10.69 mi from New York
Casa Azul Hotel Blu JFK,14.26 mi from New York
Grandview Hotel New York,9.88 mi from New York
TRYP by Wyndham Newark Downtown,8.66 mi from New York
